epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8837,0.80848,1.29995,1.68794,1.19446,0.82429,0.64298,0.73049,0.46507,0.80433,0.62741,0.70371,0.33284,0.78138,1.0299,1.28406,1.21433,0.0737721,0.00157062,0.00157062
2,39.8512,0.68167,0.92906,0.8175,1.03759,0.7454,0.6332,0.67015,0.37928,0.76178,0.64286,0.67445,0.3105,0.9308,1.12083,1.22024,1.38471,0.047337,0.00312057,0.00312057
3,57.8511,0.66092,0.88675,0.73552,1.02525,0.82359,0.7471,0.7778,0.47793,0.81396,0.72587,0.74706,0.37178,0.81018,1.01884,1.0594,1.26676,0.0208706,0.00463922,0.00463922
4,75.5828,0.64689,0.8735,0.70593,1.01546,0.81087,0.78632,0.82406,0.50702,0.83573,0.79344,0.82822,0.44522,0.82567,0.9563,0.89375,1.28642,0.00548219,0.00548219,0.00548219
5,93.0453,0.62337,0.84239,0.6681,1.00693,0.8082,0.76834,0.81593,0.48785,0.83064,0.76693,0.81992,0.35794,0.85651,1.01693,0.888,1.31657,0.00542626,0.00542626,0.00542626
6,110.563,0.60679,0.79981,0.623,0.9983,0.80388,0.79922,0.82843,0.51779,0.78459,0.8166,0.81589,0.41941,0.80117,1.00776,0.79379,1.23907,0.00537032,0.00537032,0.00537032
7,128.183,0.57827,0.76407,0.60288,0.97399,0.80027,0.8354,0.85955,0.56179,0.81886,0.81164,0.85621,0.45331,0.74307,0.92622,0.77375,1.16809,0.00531439,0.00531439,0.00531439
8,145.62,0.54986,0.73589,0.55867,0.95683,0.88356,0.83497,0.87542,0.59876,0.88932,0.82625,0.8787,0.49497,0.68044,0.8702,0.71224,1.12878,0.00525845,0.00525845,0.00525845
9,163.06,0.5428,0.7234,0.5472,0.95283,0.84537,0.84435,0.87312,0.5842,0.85642,0.8406,0.87235,0.47479,0.69983,0.88426,0.69687,1.14114,0.00520252,0.00520252,0.00520252
10,180.656,0.51842,0.7104,0.52479,0.94278,0.84629,0.87154,0.89943,0.61732,0.84126,0.88031,0.90354,0.50973,0.69403,0.82878,0.66354,1.14384,0.00514658,0.00514658,0.00514658
11,198.18,0.52236,0.71188,0.52251,0.94256,0.85711,0.84749,0.88314,0.59628,0.85605,0.85135,0.88288,0.49749,0.69276,0.89091,0.68827,1.17389,0.00509065,0.00509065,0.00509065
12,215.75,0.50247,0.67682,0.48996,0.92856,0.86943,0.85521,0.89981,0.61767,0.87392,0.85521,0.90063,0.50018,0.68463,0.87225,0.63775,1.1385,0.00503471,0.00503471,0.00503471
13,233.32,0.48903,0.67182,0.47439,0.9246,0.8627,0.82625,0.87237,0.5954,0.8755,0.83977,0.88543,0.48275,0.69244,0.84718,0.66865,1.16332,0.00497878,0.00497878,0.00497878
14,250.655,0.48562,0.64421,0.46673,0.92831,0.8839,0.85244,0.89834,0.62858,0.88741,0.85212,0.89986,0.5063,0.66516,0.86926,0.60576,1.12099,0.00492284,0.00492284,0.00492284
15,268.482,0.47774,0.64382,0.46341,0.9229,0.86978,0.83977,0.86796,0.5815,0.88009,0.83601,0.88051,0.49074,0.70238,0.84461,0.71407,1.17639,0.00486691,0.00486691,0.00486691
16,285.843,0.46888,0.64944,0.45463,0.91451,0.84415,0.85714,0.88525,0.62201,0.84415,0.85714,0.89142,0.49765,0.6724,0.82912,0.6256,1.12111,0.00481098,0.00481098,0.00481098
17,303.55,0.46242,0.62811,0.44668,0.90971,0.88677,0.84669,0.90329,0.64033,0.86655,0.85328,0.88812,0.49699,0.65477,0.90161,0.59548,1.1136,0.00475504,0.00475504,0.00475504
18,321.13,0.46582,0.62442,0.44081,0.91251,0.90907,0.84916,0.9059,0.63267,0.91733,0.85688,0.91629,0.51069,0.655,0.82095,0.5962,1.10793,0.0046991,0.0046991,0.0046991
19,338.786,0.45108,0.61436,0.43154,0.90755,0.89103,0.83661,0.90107,0.63941,0.90023,0.83398,0.89911,0.51806,0.65529,0.85476,0.5994,1.10985,0.00464317,0.00464317,0.00464317
20,356.358,0.45131,0.60882,0.42292,0.90826,0.876,0.8592,0.88856,0.63041,0.89882,0.85744,0.8997,0.5176,0.6452,0.80705,0.65629,1.10248,0.00458724,0.00458724,0.00458724
