epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8635,2.12639,3.81389,1.28327,0.02378,0.32742,0.01858,0.00923,0.86947,38.2304,0.55906,0.00036,0.00036,0.00036
2,35.6689,1.79199,2.59502,1.01226,0.0337,0.39351,0.10327,0.04724,0.83609,42.4193,0.52737,0.000732699,0.000732699,0.000732699
3,50.1952,1.65644,2.03522,0.9807,0.03413,0.47001,0.10326,0.04209,0.80714,879.826,0.55308,0.0010979,0.0010979,0.0010979
4,63.343,1.59631,1.90703,0.96707,0.42098,0.22514,0.19874,0.08325,0.87467,40.8741,0.611,0.0014556,0.0014556,0.0014556
5,76.5527,1.59401,1.87475,0.96387,0.32499,0.29865,0.21674,0.09761,0.82029,115.912,0.56497,0.0018058,0.0018058,0.0018058
6,88.8392,1.59017,1.81272,0.96955,0.45956,0.36597,0.35956,0.17456,0.82655,39.1529,0.56488,0.00190134,0.00190134,0.00190134
7,102.43,1.56278,1.73782,0.96413,0.45248,0.38556,0.36196,0.18192,0.81717,91.5294,0.56726,0.0018816,0.0018816,0.0018816
8,120.28,1.54036,1.72595,0.94418,0.50845,0.46083,0.45301,0.2341,0.78988,56.9329,0.54737,0.00186187,0.00186187,0.00186187
9,133.784,1.51476,1.68482,0.94275,0.59244,0.47736,0.52672,0.26391,0.79115,13.4701,0.5511,0.00184214,0.00184214,0.00184214
10,146.445,1.54303,1.62087,0.95125,0.59087,0.5049,0.54176,0.29025,0.71268,16.6504,0.49172,0.0018224,0.0018224,0.0018224
11,158.813,1.49285,1.61542,0.93988,0.63862,0.50367,0.56121,0.3143,0.71729,33.1101,0.49951,0.00180267,0.00180267,0.00180267
12,171.621,1.48848,1.5703,0.92862,0.6647,0.50956,0.57829,0.31759,0.70663,7.09173,0.48905,0.00178294,0.00178294,0.00178294
13,185.85,1.48031,1.53597,0.92285,0.62166,0.52999,0.57482,0.32859,0.69004,14.9848,0.47644,0.00176321,0.00176321,0.00176321
14,198.123,1.46016,1.52627,0.92318,0.61948,0.47736,0.53442,0.28973,0.72415,34.1358,0.49798,0.00174347,0.00174347,0.00174347
15,210.749,1.4399,1.51614,0.92014,0.61061,0.52999,0.56705,0.29849,0.73183,48.4504,0.48969,0.00172374,0.00172374,0.00172374
16,222.733,1.43724,1.51151,0.91357,0.64102,0.49204,0.55822,0.29976,0.71758,14.5683,0.49523,0.00170401,0.00170401,0.00170401
17,235.249,1.44481,1.50065,0.91115,0.6283,0.54932,0.58655,0.32105,0.69992,19.3843,0.48218,0.00168428,0.00168428,0.00168428
18,249.696,1.42104,1.46112,0.91115,0.61636,0.54712,0.58544,0.32967,0.66777,16.5006,0.46532,0.00166454,0.00166454,0.00166454
19,262.877,1.44651,1.4989,0.90121,0.5929,0.55936,0.58622,0.33432,0.68643,35.5437,0.48873,0.00164481,0.00164481,0.00164481
20,278.694,1.42699,1.44735,0.90556,0.66468,0.50306,0.5792,0.3231,0.70492,2.62119,0.48737,0.00162508,0.00162508,0.00162508
21,293.476,1.43713,1.43554,0.89971,0.64255,0.54712,0.5983,0.3397,0.67702,44.4214,0.46978,0.00160534,0.00160534,0.00160534
22,307.483,1.40599,1.41632,0.8971,0.67769,0.54468,0.62215,0.3548,0.69246,1.73864,0.47572,0.00158561,0.00158561,0.00158561
23,325.858,1.37181,1.38321,0.88886,0.65744,0.56966,0.62317,0.3446,0.71373,19.2721,0.47941,0.00156588,0.00156588,0.00156588
24,339.557,1.39269,1.40921,0.89388,0.66631,0.54039,0.61282,0.35962,0.65784,37.8525,0.46694,0.00154615,0.00154615,0.00154615
25,350.499,1.3872,1.40846,0.891,0.62525,0.55648,0.61383,0.34813,0.68856,18.2585,0.47708,0.00152641,0.00152641,0.00152641
26,363.153,1.37616,1.36976,0.88305,0.71005,0.54406,0.63668,0.36476,0.65615,2.45746,0.45556,0.00150668,0.00150668,0.00150668
27,378.693,1.39145,1.38353,0.87922,0.65799,0.57222,0.63419,0.36568,0.6664,1.79646,0.46828,0.00148695,0.00148695,0.00148695
28,391.447,1.35246,1.38126,0.88036,0.68924,0.56603,0.64103,0.37171,0.65936,5.71416,0.46092,0.00146721,0.00146721,0.00146721
