epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8018,2.05463,3.0998,1.72132,0.012,0.16524,0.00823,0.00268,1.15695,31.2232,0.87298,0.00036,0.00036,0.00036
2,35.3075,1.73603,2.12371,1.35988,0.02013,0.27723,0.04482,0.01775,0.7936,29.3472,0.75382,0.000732684,0.000732684,0.000732684
3,52.6727,1.63178,1.66753,1.33433,0.01395,0.00673,0.00572,0.00164,2.49117,94.5929,4.89122,0.00109785,0.00109785,0.00109785
4,67.2293,1.54478,1.53781,1.31652,0.36381,0.29432,0.23744,0.09353,0.84794,31.7139,0.8162,0.00145551,0.00145551,0.00145551
5,84.7722,1.51888,1.45142,1.30165,0.41462,0.3264,0.29798,0.1311,0.80712,42.1291,0.761,0.00180565,0.00180565,0.00180565
6,99.6658,1.50121,1.4245,1.2893,0.54759,0.42166,0.4404,0.23209,0.7316,23.3532,0.68453,0.00190113,0.00190113,0.00190113
7,116.612,1.51923,1.40214,1.29729,0.52137,0.47062,0.47652,0.25244,0.73703,86.3611,0.71177,0.00188136,0.00188136,0.00188136
8,129.573,1.45519,1.33027,1.27724,0.54504,0.43037,0.45506,0.22929,0.7483,20.0227,0.70938,0.00186159,0.00186159,0.00186159
9,140.549,1.46993,1.31431,1.26996,0.57477,0.49266,0.51475,0.26778,0.72757,32.3976,0.67849,0.00184182,0.00184182,0.00184182
10,153.298,1.42985,1.28093,1.2513,0.53454,0.44002,0.45331,0.23598,0.77569,60.8112,0.69823,0.00182204,0.00182204,0.00182204
11,168.315,1.45415,1.29493,1.25315,0.62875,0.50918,0.55417,0.30221,0.69507,66.0636,0.66721,0.00180227,0.00180227,0.00180227
12,182.183,1.44779,1.27588,1.25776,0.60573,0.49633,0.55038,0.30319,0.69288,14.7205,0.67371,0.0017825,0.0017825,0.0017825
13,195.399,1.41769,1.23787,1.24671,0.59454,0.5355,0.56915,0.32457,0.68745,30.4893,0.66272,0.00176272,0.00176272,0.00176272
14,207.625,1.42463,1.23302,1.25153,0.65029,0.48592,0.56721,0.30482,0.70656,14.5729,0.66383,0.00174295,0.00174295,0.00174295
15,220.795,1.41702,1.19592,1.24219,0.6229,0.47715,0.53937,0.30004,0.70394,43.3343,0.6661,0.00172318,0.00172318,0.00172318
16,232.557,1.405,1.20971,1.23975,0.60329,0.52509,0.56683,0.32389,0.66323,37.6921,0.6489,0.00170341,0.00170341,0.00170341
17,249.47,1.37613,1.17657,1.23096,0.63328,0.53121,0.5806,0.33179,0.66775,33.805,0.65467,0.00168363,0.00168363,0.00168363
18,263.597,1.33826,1.14928,1.20676,0.64211,0.54162,0.59899,0.33465,0.69453,24.5661,0.66176,0.00166386,0.00166386,0.00166386
19,275.635,1.36703,1.16094,1.21864,0.63721,0.52326,0.58961,0.33109,0.6831,10.4529,0.65991,0.00164409,0.00164409,0.00164409
