epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,478.906,0.92157,1.22506,0.60497,1.05658,0.88294,0.89575,0.93338,0.69365,0.89143,0.90349,0.94425,0.56929,0.95822,1.13832,0.61456,1.12375,0.000509011,0.000509011,0.000509011
31,494.76,0.93824,1.245,0.61,1.07068,0.90192,0.88758,0.93442,0.69123,0.91563,0.90091,0.94754,0.59197,0.95566,1.11401,0.59914,1.12315,0.000501942,0.000501942,0.000501942
32,510.569,0.93231,1.26725,0.60067,1.05106,0.89612,0.90927,0.94147,0.6874,0.89719,0.91313,0.94933,0.5836,0.9475,1.1346,0.5886,1.12459,0.000494873,0.000494873,0.000494873
33,526.155,0.92621,1.22925,0.58708,1.06107,0.92274,0.85308,0.93851,0.68912,0.929,0.85888,0.94404,0.57632,0.97756,1.12062,0.59065,1.12967,0.000487805,0.000487805,0.000487805
34,541.96,0.89798,1.18409,0.58151,1.04541,0.90405,0.87838,0.93612,0.70029,0.89625,0.90051,0.93977,0.58783,0.92556,1.10311,0.61137,1.08722,0.000480736,0.000480736,0.000480736
35,557.776,0.90637,1.21611,0.59121,1.05033,0.91548,0.87259,0.9231,0.67922,0.9151,0.89768,0.94391,0.57253,0.97022,1.12232,0.65969,1.135,0.000473668,0.000473668,0.000473668
36,573.572,0.91328,1.2238,0.58795,1.05203,0.94148,0.9007,0.9499,0.71044,0.93837,0.91122,0.9521,0.5957,0.93882,1.08986,0.56513,1.08662,0.000466599,0.000466599,0.000466599
37,589.345,0.90465,1.19605,0.58017,1.04291,0.90598,0.90154,0.94829,0.70832,0.92989,0.89611,0.95169,0.59857,0.93482,1.07825,0.56496,1.09409,0.00045953,0.00045953,0.00045953
38,605.176,0.91259,1.21986,0.57517,1.06307,0.89973,0.9305,0.95115,0.71445,0.90597,0.92999,0.95601,0.6117,0.94355,1.09635,0.57833,1.0988,0.000452462,0.000452462,0.000452462
39,621.055,0.89068,1.1813,0.58003,1.04547,0.91138,0.91699,0.948,0.70616,0.92185,0.91892,0.94919,0.5958,0.93758,1.11112,0.56697,1.10516,0.000445393,0.000445393,0.000445393
40,636.951,0.89205,1.19697,0.56984,1.04446,0.90882,0.89575,0.94121,0.69957,0.92885,0.90733,0.95391,0.59841,0.9369,1.10127,0.5604,1.09725,0.000438325,0.000438325,0.000438325
41,652.724,0.87603,1.17588,0.56388,1.04165,0.92909,0.91064,0.948,0.70464,0.92911,0.90734,0.95174,0.59236,0.93578,1.08931,0.55502,1.10734,0.000431256,0.000431256,0.000431256
42,668.618,0.89548,1.21308,0.57299,1.04131,0.90801,0.90541,0.93759,0.69409,0.90995,0.90734,0.94505,0.58399,0.93653,1.08587,0.57064,1.09658,0.000424187,0.000424187,0.000424187
43,684.324,0.87301,1.20047,0.55376,1.0449,0.91535,0.92085,0.94683,0.72117,0.91919,0.92471,0.9566,0.59811,0.91463,1.10351,0.5335,1.08606,0.000417119,0.000417119,0.000417119
44,700.162,0.86498,1.18388,0.54517,1.03008,0.89634,0.91808,0.94339,0.71209,0.9478,0.87629,0.94474,0.59801,0.93042,1.13723,0.54682,1.10004,0.00041005,0.00041005,0.00041005
