epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4381,1.32036,2.53545,2.42106,1.36727,0.00312,0.27027,0.00321,0.00087,0.00011,0.00965,6e-05,1e-05,3.80636,17.4108,4.09927,4.03891,0.0731458,0.0001458,0.0001458
2,84.2158,1.0575,1.42796,1.00449,1.09908,0.07488,0.57143,0.30043,0.14894,0.02884,0.22008,0.05071,0.01127,1.97386,12.4613,3.53758,1.93993,0.0452941,0.00029406,0.00029406
3,135.627,1.01302,1.34957,0.81561,1.08688,0.89896,0.44659,0.7264,0.46263,0.43653,0.21686,0.225,0.06807,1.3671,6.01387,2.33823,1.40727,0.0174393,0.000439326,0.000439326
4,186.104,1.00782,1.32786,0.78065,1.08333,0.83302,0.65489,0.8069,0.50744,0.8011,0.62979,0.77265,0.36237,1.27268,1.76553,1.56394,1.32324,0.000523962,0.000523962,0.000523962
