epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2603,2.33429,3.54546,1.61666,0.01231,0.16952,0.00789,0.00225,1.15546,34.8121,0.7207,0.00036,0.00036,0.00036
2,35.1356,2.02924,2.41812,1.2931,0.02298,0.3164,0.13736,0.06535,0.86901,35.1379,0.63816,0.000732674,0.000732674,0.000732674
3,55.7262,1.85693,1.92109,1.24289,0.02867,0.39474,0.11075,0.03874,0.97281,41.4149,0.77706,0.00109782,0.00109782,0.00109782
4,70.819,1.80881,1.82658,1.24763,0.54144,0.12729,0.18012,0.06896,1.01078,34.8224,0.82212,0.00145545,0.00145545,0.00145545
5,84.5474,1.74271,1.68268,1.22209,0.67543,0.19645,0.28608,0.13853,0.93244,17.7998,0.76892,0.00180555,0.00180555,0.00180555
6,97.9793,1.75987,1.67277,1.23993,0.30548,0.27662,0.1983,0.09051,0.9447,58.0292,0.77216,0.001901,0.001901,0.001901
7,122.084,1.80439,1.70692,1.24014,0.53931,0.37515,0.40516,0.21102,0.81496,68.1443,0.67197,0.0018812,0.0018812,0.0018812
8,137.676,1.70687,1.58962,1.22045,0.54676,0.46389,0.46762,0.25623,0.77426,142.252,0.63652,0.0018614,0.0018614,0.0018614
9,158.469,1.68298,1.52265,1.19719,0.59624,0.49163,0.52322,0.28909,0.78555,58.4899,0.63822,0.0018416,0.0018416,0.0018416
10,174.675,1.67578,1.53899,1.20326,0.59073,0.4694,0.50889,0.28134,0.78321,35.1557,0.63022,0.0018218,0.0018218,0.0018218
11,199.017,1.65857,1.49058,1.18364,0.52493,0.47797,0.48271,0.26573,0.79334,114.202,0.61625,0.001802,0.001802,0.001802
12,216.674,1.67953,1.48744,1.19038,0.64687,0.48286,0.55798,0.31561,0.7434,31.2941,0.62336,0.0017822,0.0017822,0.0017822
13,233.221,1.66994,1.50092,1.20269,0.64162,0.48428,0.55863,0.30294,0.8113,12.9804,0.65701,0.0017624,0.0017624,0.0017624
14,247.244,1.6409,1.44123,1.18045,0.66205,0.50857,0.57127,0.31394,0.78669,22.2776,0.62651,0.0017426,0.0017426,0.0017426
15,263.282,1.61923,1.41948,1.16261,0.58685,0.4339,0.49032,0.25141,0.87016,25.8879,0.66163,0.0017228,0.0017228,0.0017228
16,281.172,1.62871,1.41874,1.16738,0.58385,0.50428,0.54429,0.31111,0.76156,36.3418,0.61291,0.001703,0.001703,0.001703
17,299.076,1.6083,1.40101,1.17613,0.61855,0.5459,0.59446,0.34708,0.73319,17.1441,0.60705,0.0016832,0.0016832,0.0016832
18,312.681,1.59454,1.39672,1.16159,0.6548,0.55569,0.61196,0.3514,0.73486,15.3553,0.6065,0.0016634,0.0016634,0.0016634
19,326.296,1.62629,1.3793,1.16168,0.66773,0.5104,0.59551,0.34286,0.73683,2.08384,0.61506,0.0016436,0.0016436,0.0016436
20,341.076,1.61256,1.40279,1.15115,0.64514,0.5049,0.56992,0.32556,0.74915,1.05734,0.61381,0.0016238,0.0016238,0.0016238
21,360.807,1.60163,1.34941,1.14647,0.61371,0.51958,0.57045,0.31679,0.75216,1.13184,0.60093,0.001604,0.001604,0.001604
22,377.529,1.57442,1.35492,1.15269,0.62703,0.57038,0.60486,0.3449,0.74468,35.4051,0.60174,0.0015842,0.0015842,0.0015842
23,392.225,1.5641,1.33622,1.13905,0.59433,0.50673,0.55739,0.30239,0.81798,32.0731,0.64343,0.0015644,0.0015644,0.0015644
24,402.162,1.5717,1.31874,1.1416,0.64,0.59241,0.64183,0.36822,0.74321,8.08539,0.61047,0.0015446,0.0015446,0.0015446
25,422.546,1.5257,1.29555,1.13811,0.64046,0.57125,0.62566,0.36414,0.72478,7.7869,0.60923,0.0015248,0.0015248,0.0015248
26,435.839,1.54267,1.33748,1.14247,0.67551,0.54162,0.62711,0.35313,0.73559,2.3756,0.59857,0.001505,0.001505,0.001505
27,453.169,1.5532,1.307,1.13964,0.69459,0.53978,0.62464,0.3668,0.71896,5.52126,0.59516,0.0014852,0.0014852,0.0014852
28,468.645,1.54283,1.31818,1.12782,0.58093,0.53366,0.56991,0.33606,0.7324,41.153,0.60459,0.0014654,0.0014654,0.0014654
29,482.342,1.52031,1.27667,1.12518,0.67053,0.52999,0.59876,0.34847,0.73674,7.49871,0.60464,0.0014456,0.0014456,0.0014456
30,505.562,1.52117,1.28627,1.1227,0.65327,0.58078,0.64751,0.38575,0.70566,9.51331,0.59594,0.0014258,0.0014258,0.0014258
31,522.636,1.51798,1.2567,1.12161,0.69145,0.5612,0.64861,0.38699,0.7039,1.14136,0.58817,0.001406,0.001406,0.001406
32,541.059,1.5113,1.24801,1.12085,0.67383,0.58017,0.64594,0.38788,0.70834,6.62527,0.59493,0.0013862,0.0013862,0.0013862
33,555.063,1.50693,1.2663,1.12659,0.67065,0.53672,0.61647,0.35683,0.7399,16.5426,0.60193,0.0013664,0.0013664,0.0013664
34,571.642,1.49374,1.23445,1.12309,0.68135,0.55569,0.63369,0.37917,0.7147,21.3099,0.59091,0.0013466,0.0013466,0.0013466
35,588.667,1.49292,1.25441,1.12099,0.64481,0.56551,0.62277,0.36354,0.74285,13.0097,0.60301,0.0013268,0.0013268,0.0013268
36,612.456,1.5375,1.2657,1.1263,0.63408,0.53733,0.5942,0.34371,0.74628,51.8479,0.61444,0.001307,0.001307,0.001307
37,624.994,1.48888,1.20782,1.10675,0.69986,0.59792,0.66499,0.39799,0.70313,4.67947,0.58738,0.0012872,0.0012872,0.0012872
38,642.32,1.49598,1.22124,1.11678,0.65868,0.56688,0.61917,0.35522,0.74588,6.48003,0.60643,0.0012674,0.0012674,0.0012674
39,656.053,1.49816,1.22509,1.10466,0.6887,0.5355,0.63399,0.37576,0.70656,1.74157,0.58878,0.0012476,0.0012476,0.0012476
40,669.456,1.4844,1.19991,1.10957,0.69018,0.56916,0.63545,0.38155,0.71072,2.87367,0.58626,0.0012278,0.0012278,0.0012278
41,689.724,1.4626,1.18183,1.09973,0.69083,0.5675,0.6464,0.38965,0.69886,1.2959,0.58938,0.001208,0.001208,0.001208
42,705.427,1.48315,1.19542,1.09899,0.7306,0.5661,0.65862,0.39176,0.71592,2.81381,0.5936,0.0011882,0.0011882,0.0011882
43,719.318,1.4279,1.16516,1.09134,0.70013,0.57013,0.65533,0.39234,0.70579,9.11702,0.58755,0.0011684,0.0011684,0.0011684
44,736.781,1.52001,1.20217,1.10172,0.6901,0.52878,0.62068,0.35445,0.74204,1.37424,0.60522,0.0011486,0.0011486,0.0011486
45,759.123,1.47046,1.1803,1.10259,0.68565,0.55529,0.6409,0.37715,0.70869,0.84709,0.59524,0.0011288,0.0011288,0.0011288
46,777.652,1.46058,1.16462,1.0961,0.66382,0.57279,0.64024,0.38236,0.71039,1.36011,0.59016,0.001109,0.001109,0.001109
47,796.013,1.45658,1.17299,1.1014,0.71585,0.59425,0.67859,0.39751,0.71033,2.18186,0.59411,0.0010892,0.0010892,0.0010892
48,808.543,1.44723,1.17032,1.0923,0.72045,0.57727,0.66585,0.38822,0.71466,3.46651,0.59129,0.0010694,0.0010694,0.0010694
49,825.601,1.41534,1.13791,1.08078,0.698,0.58078,0.67012,0.40404,0.68802,7.9031,0.58927,0.0010496,0.0010496,0.0010496
50,840.501,1.4474,1.16459,1.09056,0.68883,0.61138,0.67264,0.40075,0.7055,2.24456,0.59322,0.0010298,0.0010298,0.0010298
51,855.756,1.46534,1.15123,1.0849,0.71427,0.57466,0.65793,0.39565,0.6935,1.26621,0.58328,0.00101,0.00101,0.00101
52,868.492,1.40807,1.13742,1.07618,0.73617,0.57956,0.67009,0.40097,0.70673,2.48291,0.5911,0.0009902,0.0009902,0.0009902
53,882.305,1.45076,1.14524,1.07688,0.7209,0.58329,0.66494,0.40011,0.71003,4.88625,0.59451,0.0009704,0.0009704,0.0009704
54,897.121,1.42692,1.15228,1.0855,0.71851,0.5858,0.66772,0.39945,0.70887,1.11833,0.59161,0.0009506,0.0009506,0.0009506
55,916.319,1.44713,1.13443,1.08567,0.70598,0.59058,0.66814,0.4025,0.69493,0.87906,0.58363,0.0009308,0.0009308,0.0009308
56,928.773,1.40151,1.13596,1.08983,0.74327,0.58115,0.67881,0.40701,0.69956,0.80982,0.58893,0.000911,0.000911,0.000911
57,942.212,1.42758,1.1224,1.0925,0.70441,0.5661,0.64656,0.38227,0.71266,1.82121,0.59455,0.0008912,0.0008912,0.0008912
58,959.541,1.41204,1.11792,1.07386,0.73541,0.60404,0.69445,0.42483,0.68651,1.35172,0.58101,0.0008714,0.0008714,0.0008714
59,980.217,1.44585,1.12726,1.0834,0.71706,0.5967,0.68196,0.42207,0.66998,1.05098,0.57677,0.0008516,0.0008516,0.0008516
60,993.825,1.36602,1.08213,1.07287,0.70647,0.58813,0.67295,0.41068,0.68693,4.82816,0.58359,0.0008318,0.0008318,0.0008318
61,1013.22,1.37706,1.0835,1.0695,0.70923,0.59302,0.66991,0.41012,0.69389,5.10516,0.58399,0.000812,0.000812,0.000812
62,1031.68,1.38023,1.07455,1.06618,0.73021,0.56732,0.66114,0.39323,0.71196,1.28434,0.5962,0.0007922,0.0007922,0.0007922
63,1044.33,1.36375,1.05289,1.05552,0.70638,0.58629,0.66665,0.40098,0.71131,1.18925,0.59163,0.0007724,0.0007724,0.0007724
64,1060.69,1.41319,1.08863,1.06758,0.71792,0.5967,0.68127,0.40629,0.70609,1.29344,0.58914,0.0007526,0.0007526,0.0007526
65,1073.7,1.37084,1.05861,1.05508,0.73226,0.59084,0.69138,0.41867,0.69259,1.14874,0.57846,0.0007328,0.0007328,0.0007328
66,1092.61,1.37022,1.06743,1.05498,0.74144,0.60018,0.69245,0.41817,0.68514,0.68508,0.57596,0.000713,0.000713,0.000713
67,1109.97,1.36619,1.06692,1.0542,0.72675,0.58996,0.68632,0.41796,0.68531,0.59083,0.57843,0.0006932,0.0006932,0.0006932
68,1127.7,1.41172,1.0885,1.06577,0.74441,0.60098,0.69677,0.4243,0.68217,0.98604,0.58153,0.0006734,0.0006734,0.0006734
69,1147.46,1.38069,1.06497,1.0619,0.72841,0.61077,0.69476,0.42114,0.68364,2.26023,0.58024,0.0006536,0.0006536,0.0006536
70,1164.25,1.3756,1.07308,1.05533,0.71525,0.58877,0.68142,0.41987,0.68022,1.86463,0.57868,0.0006338,0.0006338,0.0006338
71,1181.95,1.33317,1.03403,1.05587,0.71254,0.60955,0.68625,0.41636,0.68701,2.56998,0.58175,0.000614,0.000614,0.000614
