epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8767,2.49935,5.88167,1.2362,0.0104,0.14321,0.00731,0.00208,1.29206,57.6848,0.58337,0.00036,0.00036,0.00036
2,32.4846,2.1173,3.94565,0.97057,0.01493,0.20563,0.05526,0.02245,1.3276,58.6313,0.67929,0.000732705,0.000732705,0.000732705
3,51.0511,1.9444,3.07713,0.93289,0.02373,0.32681,0.02131,0.00985,1.07659,410.112,0.58068,0.00109792,0.00109792,0.00109792
4,68.5231,1.88377,2.92073,0.927,0.3727,0.33843,0.26485,0.13288,0.87442,76.6265,0.47461,0.00145564,0.00145564,0.00145564
5,84.8347,1.9077,2.85266,0.92628,0.62645,0.3825,0.44076,0.20981,0.90632,64.4668,0.49565,0.00180587,0.00180587,0.00180587
6,100.393,1.85939,2.73668,0.92975,0.52434,0.34137,0.36684,0.17827,0.96858,53.8328,0.53664,0.00190142,0.00190142,0.00190142
7,114.776,1.85069,2.65893,0.90811,0.50772,0.4388,0.42872,0.21595,0.97532,127.808,0.54451,0.00188171,0.00188171,0.00188171
8,132.154,1.83566,2.62978,0.91231,0.58978,0.44125,0.4783,0.24083,0.90783,53.3743,0.49652,0.00186199,0.00186199,0.00186199
9,148.504,1.80195,2.61179,0.90948,0.58056,0.52081,0.55119,0.30457,0.85087,81.8369,0.47487,0.00184228,0.00184228,0.00184228
10,165.434,1.78343,2.4845,0.9003,0.5833,0.51469,0.539,0.27287,0.90501,174.747,0.49601,0.00182256,0.00182256,0.00182256
11,178.678,1.78697,2.4973,0.90393,0.61218,0.50137,0.55269,0.31163,0.8384,172.873,0.47112,0.00180285,0.00180285,0.00180285
12,192.024,1.74871,2.44505,0.89205,0.6582,0.52443,0.58387,0.31455,0.86023,18.3174,0.47653,0.00178313,0.00178313,0.00178313
13,206.909,1.73192,2.36669,0.89289,0.66636,0.52142,0.58278,0.33098,0.8219,142.229,0.45794,0.00176342,0.00176342,0.00176342
14,225.076,1.74733,2.35642,0.89191,0.64935,0.51285,0.57958,0.33073,0.81498,9.97043,0.46273,0.0017437,0.0017437,0.0017437
15,241.58,1.73272,2.34374,0.88146,0.6888,0.52509,0.60727,0.35484,0.79981,24.2685,0.45565,0.00172399,0.00172399,0.00172399
16,254.813,1.72711,2.281,0.87543,0.67153,0.51163,0.59446,0.34791,0.78645,8.78239,0.44958,0.00170427,0.00170427,0.00170427
17,269.696,1.69782,2.25773,0.87342,0.62619,0.50747,0.56217,0.32678,0.81553,9.34779,0.45848,0.00168456,0.00168456,0.00168456
18,286.034,1.68138,2.23557,0.86861,0.63495,0.59929,0.63567,0.36958,0.77772,45.0362,0.44922,0.00166484,0.00166484,0.00166484
19,300.434,1.67199,2.28287,0.87531,0.72806,0.54651,0.6462,0.37893,0.79196,20.0079,0.44945,0.00164513,0.00164513,0.00164513
20,312.188,1.67837,2.22644,0.87032,0.71422,0.51084,0.62094,0.36285,0.77172,3.9943,0.44371,0.00162541,0.00162541,0.00162541
