epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6163,2.37053,3.57147,1.62318,0.01671,0.23011,0.01687,0.00556,1.14281,34.9628,0.72929,0.00036,0.00036,0.00036
2,40.4528,2.03764,2.45156,1.29022,0.02902,0.39963,0.08644,0.02751,0.85284,33.4815,0.63726,0.000732674,0.000732674,0.000732674
3,59.3292,1.85088,1.90303,1.23942,0.21325,0.12729,0.06813,0.02351,1.08467,73.4204,0.89318,0.00109782,0.00109782,0.00109782
4,78.2187,1.78016,1.7668,1.22609,0.27776,0.17931,0.10551,0.03961,1.1314,13.9194,0.94305,0.00145545,0.00145545,0.00145545
5,94.939,1.76205,1.68,1.22014,0.47591,0.28458,0.29367,0.12452,0.88287,37.3646,0.71348,0.00180555,0.00180555,0.00180555
6,108.87,1.77586,1.69958,1.23526,0.48596,0.26989,0.29334,0.13648,0.87912,17.1044,0.70858,0.001901,0.001901,0.001901
7,123.259,1.75616,1.67251,1.22878,0.50775,0.40759,0.42578,0.21873,0.82544,45.5335,0.67595,0.0018812,0.0018812,0.0018812
8,136.448,1.71235,1.58409,1.22243,0.47161,0.41731,0.40661,0.21249,0.79983,82.7629,0.64784,0.0018614,0.0018614,0.0018614
9,155.539,1.70454,1.55228,1.19792,0.54066,0.47001,0.47716,0.24669,0.86188,136.196,0.69756,0.0018416,0.0018416,0.0018416
10,179.24,1.6727,1.51404,1.19474,0.56379,0.46695,0.49339,0.25223,0.84902,50.8434,0.67332,0.0018218,0.0018218,0.0018218
11,202.463,1.66193,1.48474,1.18483,0.58541,0.51331,0.51964,0.25912,0.88547,43.8755,0.69257,0.001802,0.001802,0.001802
12,217.772,1.66734,1.49611,1.18332,0.60609,0.4743,0.51146,0.2767,0.7849,8.32374,0.63335,0.0017822,0.0017822,0.0017822
13,235.46,1.66035,1.48435,1.19665,0.63302,0.50565,0.56577,0.31089,0.76839,56.2878,0.61698,0.0017624,0.0017624,0.0017624
14,247.445,1.64833,1.45467,1.18167,0.6363,0.4896,0.56147,0.30902,0.78219,6.29623,0.63332,0.0017426,0.0017426,0.0017426
15,265.255,1.63574,1.41768,1.17186,0.58294,0.52694,0.55748,0.3019,0.81018,20.6553,0.64354,0.0017228,0.0017228,0.0017228
16,281.431,1.64742,1.43549,1.17817,0.63978,0.53488,0.58712,0.33301,0.75084,11.1527,0.6197,0.001703,0.001703,0.001703
17,293.983,1.59501,1.38296,1.16511,0.65928,0.54223,0.60839,0.3471,0.74343,38.5484,0.60838,0.0016832,0.0016832,0.0016832
18,307.728,1.58396,1.38065,1.16398,0.67355,0.50255,0.58418,0.32249,0.77812,16.7509,0.63952,0.0016634,0.0016634,0.0016634
19,322.57,1.61626,1.36747,1.16518,0.58901,0.55018,0.56926,0.33823,0.72548,34.4869,0.60516,0.0016436,0.0016436,0.0016436
20,335.702,1.60606,1.38241,1.15352,0.65971,0.51285,0.60706,0.35501,0.72952,10.3841,0.60463,0.0016238,0.0016238,0.0016238
21,351.368,1.6012,1.35485,1.14837,0.65552,0.54501,0.6112,0.34345,0.75625,7.25112,0.61024,0.001604,0.001604,0.001604
22,367.394,1.56061,1.32355,1.14653,0.65715,0.54312,0.60647,0.34676,0.75463,11.4166,0.61146,0.0015842,0.0015842,0.0015842
23,382.41,1.56438,1.31092,1.14565,0.6975,0.51102,0.6117,0.34238,0.76123,3.81068,0.60717,0.0015644,0.0015644,0.0015644
24,396.882,1.56351,1.31668,1.14893,0.64272,0.53427,0.58779,0.34175,0.74511,73.4197,0.6168,0.0015446,0.0015446,0.0015446
25,433.332,1.54209,1.28707,1.13818,0.62642,0.54081,0.59957,0.35347,0.73986,5.52416,0.60374,0.0015248,0.0015248,0.0015248
