                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7989,                 3.9203,                 2.9863,                 1.9925,                0.00133,                0.30064,                0.00466,                0.00103,                 0.3461,                0.06148,                0.00473,                0.00084,                 3.6907,                 13.823,                 3.6956,                 7.3096,               0.098691,               0.031811,               0.031811
                      2,                 2.4158,                 4.3774,                 3.2983,                 2.6239,                0.00129,                0.19293,                0.00094,                0.00024,                  1e-05,                  0.002,                  1e-05,                      0,                 4.7184,                  245.7,                 3.8317,                 11.558,               0.096742,               0.063195,               0.063195
                      3,                 2.5072,                 4.3033,                 3.3814,                 2.8144,                0.00046,                 0.1038,                0.00027,                  8e-05,                  1e-05,                 0.0021,                      0,                      0,                 4.1345,                 8.4732,                 72.421,                 5.4763,               0.094159,               0.093945,               0.093945
                      4,                 2.7251,                 4.5446,                 3.5274,                 3.0825,                0.00043,                0.09452,                 0.0003,                 0.0001,                  7e-05,                0.01622,                  4e-05,                  1e-05,                 4.4022,                 5.4835,                  3.708,                 4.7485,               0.093195,               0.093195,               0.093195
                      5,                 2.8524,                 4.6874,                 3.5083,                 3.1836,                0.00194,                 0.0021,                0.00059,                0.00019,                      0,                      0,                      0,                      0,                 4.5231,                 43.507,                 6.4035,                 6.2483,               0.092245,               0.092245,               0.092245
                      6,                 2.8091,                 4.4312,                 3.5021,                 3.1441,                0.00127,                0.07649,                0.00131,                0.00026,                0.00048,                0.03753,                0.00055,                0.00011,                 3.9903,                  9.587,                 4.6893,                 14.485,               0.091294,               0.091294,               0.091294
