                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.9688,                 1.2295,                0.63944,                 1.0743,                0.89893,                0.90154,                0.94413,                0.69724,                0.90663,                0.90927,                0.94923,                0.58802,                0.96181,                 1.1234,                 0.5719,                 1.0873,             0.00055142,             0.00055142,             0.00055142
                     25,                0.96129,                 1.2933,                0.64513,                 1.0601,                0.92583,                0.89167,                0.94631,                0.69559,                0.92668,                0.89382,                0.94097,                0.57606,                0.94182,                 1.1781,                0.57246,                 1.1002,             0.00054435,             0.00054435,             0.00054435
                     26,                0.94989,                 1.2678,                0.63177,                 1.0609,                0.92178,                0.85714,                0.93306,                0.67652,                0.92178,                0.85714,                0.93336,                0.57075,                0.95759,                 1.1249,                0.60445,                 1.0934,             0.00053728,             0.00053728,             0.00053728
                     27,                0.93548,                 1.2432,                0.62022,                 1.0496,                0.92079,                0.87838,                0.93716,                0.69954,                0.92686,                0.88417,                0.94402,                0.57387,                0.93304,                 1.1605,                 0.5756,                  1.081,             0.00053022,             0.00053022,             0.00053022
                     28,                0.96477,                 1.2681,                0.63416,                 1.0577,                0.88661,                0.90927,                0.93703,                0.68987,                0.89878,                0.90853,                 0.9455,                0.58827,                0.92893,                 1.1174,                0.57575,                 1.0696,             0.00052315,             0.00052315,             0.00052315
                     29,                0.95599,                 1.2635,                0.62677,                 1.0608,                0.90489,                0.89995,                0.94271,                0.70936,                0.90673,                0.90089,                0.94765,                0.57595,                0.92901,                 1.1407,                 0.5547,                 1.0912,             0.00051608,             0.00051608,             0.00051608
                     30,                0.93362,                  1.239,                0.61026,                  1.056,                0.88765,                0.88996,                0.93454,                0.69744,                0.90427,                0.89356,                0.94062,                0.57511,                0.93539,                 1.1185,                0.56588,                 1.0816,             0.00050901,             0.00050901,             0.00050901
                     31,                0.94236,                 1.2635,                0.61034,                 1.0681,                0.91997,                0.89768,                 0.9416,                0.70533,                0.92668,                0.90278,                0.94883,                0.59227,                0.92233,                  1.121,                0.56156,                 1.0816,             0.00050194,             0.00050194,             0.00050194
                     32,                0.93365,                 1.2835,                0.61079,                 1.0446,                0.91278,                0.90909,                0.94423,                 0.7123,                0.92033,                 0.9112,                0.95236,                0.58714,                0.91438,                 1.1372,                0.53633,                 1.0874,             0.00049487,             0.00049487,             0.00049487
                     33,                0.93163,                 1.2406,                0.58742,                 1.0563,                0.91182,                0.88224,                0.93998,                 0.6965,                0.91561,                0.90068,                0.95393,                 0.5743,                0.92938,                 1.1536,                0.55588,                 1.0714,              0.0004878,              0.0004878,              0.0004878
                     34,                0.91327,                 1.1971,                0.58619,                 1.0494,                0.88321,                0.91506,                0.94313,                0.70863,                 0.9014,                0.90927,                0.94632,                0.58942,                0.90802,                 1.1021,                0.55861,                  1.064,             0.00048074,             0.00048074,             0.00048074
                     35,                0.91537,                 1.2307,                0.59596,                 1.0477,                0.93391,                0.87301,                0.93666,                0.70588,                0.93804,                0.87687,                0.95243,                 0.5834,                0.93748,                 1.1117,                0.58036,                 1.0915,             0.00047367,             0.00047367,             0.00047367
                     36,                0.92446,                 1.2375,                0.59343,                   1.05,                0.92718,                0.88482,                0.94726,                0.70726,                0.93122,                0.88868,                0.95611,                0.58501,                0.91426,                 1.1023,                 0.5394,                 1.0741,              0.0004666,              0.0004666,              0.0004666
                     37,                0.91155,                 1.2017,                  0.584,                 1.0408,                0.91903,                0.92664,                0.95901,                0.72051,                 0.9152,                0.92278,                0.95356,                0.60322,                0.89613,                 1.1098,                0.51576,                 1.0613,             0.00045953,             0.00045953,             0.00045953
                     38,                0.91718,                  1.228,                0.57895,                 1.0501,                0.93708,                0.89768,                0.94594,                0.71511,                0.92845,                0.90181,                0.94547,                0.59049,                0.90516,                 1.1274,                0.53013,                 1.0731,             0.00045246,             0.00045246,             0.00045246
                     39,                0.90474,                 1.1937,                0.58378,                 1.0455,                   0.92,                0.91027,                0.94453,                0.71596,                0.92772,                0.91699,                 0.9585,                0.59513,                0.88863,                 1.1049,                0.53092,                 1.0648,             0.00044539,             0.00044539,             0.00044539
                     40,                0.90032,                 1.2214,                0.57833,                 1.0421,                0.92264,                0.88417,                0.94539,                0.71764,                0.92868,                0.88996,                0.95228,                0.59818,                0.89876,                 1.0903,                0.52931,                  1.063,             0.00043832,             0.00043832,             0.00043832
                     41,                0.89254,                 1.1886,                0.56975,                 1.0405,                0.90709,                0.90472,                0.93737,                0.70648,                0.91652,                 0.9112,                0.95205,                0.59668,                0.91455,                 1.0989,                0.58675,                 1.0779,             0.00043126,             0.00043126,             0.00043126
                     42,                0.91539,                 1.2314,                0.58061,                 1.0396,                0.92868,                0.90498,                 0.9447,                0.71874,                0.93241,                0.90553,                0.95329,                0.59494,                0.89576,                  1.088,                0.52138,                 1.0547,             0.00042419,             0.00042419,             0.00042419
                     43,                0.89902,                 1.2084,                0.55182,                 1.0449,                0.91232,                0.92399,                0.94665,                0.72536,                0.92182,                0.93331,                0.95788,                0.59859,                0.87897,                 1.0948,                0.50771,                 1.0588,             0.00041712,             0.00041712,             0.00041712
                     44,                0.88152,                  1.196,                0.55058,                 1.0308,                0.90692,                 0.9405,                0.94547,                0.71852,                 0.9089,                0.94208,                 0.9541,                0.59453,                0.89663,                 1.1152,                0.51834,                 1.0644,             0.00041005,             0.00041005,             0.00041005
                     45,                0.88509,                 1.1829,                0.54779,                 1.0327,                0.90483,                0.91892,                0.95455,                0.72958,                0.92328,                0.90609,                0.95562,                0.60627,                0.87209,                 1.0975,                0.51565,                 1.0559,             0.00040298,             0.00040298,             0.00040298
                     46,                0.90308,                 1.2049,                0.55239,                 1.0466,                0.94421,                0.91486,                0.95501,                 0.7184,                0.94817,                0.91831,                0.96424,                0.59949,                0.89653,                 1.0813,                0.50548,                 1.0649,             0.00039591,             0.00039591,             0.00039591
                     47,                0.90686,                 1.2171,                0.55793,                 1.0417,                0.94464,                0.88224,                0.93814,                0.70734,                0.95291,                0.88996,                0.94772,                0.58495,                0.89723,                 1.0975,                0.56091,                 1.0732,             0.00038884,             0.00038884,             0.00038884
                     48,                0.87783,                  1.191,                0.56156,                 1.0272,                0.93394,                0.90154,                0.95047,                0.72759,                0.94065,                0.90927,                0.95888,                0.60853,                0.88107,                 1.0775,                0.50281,                 1.0657,             0.00038178,             0.00038178,             0.00038178
                     49,                0.88234,                 1.2087,                0.55031,                 1.0263,                0.93243,                0.90541,                0.94592,                0.72657,                0.94443,                0.91313,                 0.9585,                0.60683,                0.89118,                 1.0837,                0.50084,                 1.0733,             0.00037471,             0.00037471,             0.00037471
                     50,                  0.876,                 1.1906,                0.53664,                 1.0136,                0.92373,                0.91189,                0.95623,                0.72868,                0.93541,                0.92085,                0.96573,                0.61772,                0.87599,                 1.0592,                0.49062,                 1.0462,             0.00036764,             0.00036764,             0.00036764
                     51,                0.87977,                 1.2184,                0.54527,                 1.0296,                0.93238,                 0.9112,                0.94966,                0.72353,                0.92992,                0.92221,                0.95827,                0.59448,                0.89912,                 1.0936,                0.50855,                 1.0559,             0.00036057,             0.00036057,             0.00036057
