epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1591,2.21186,3.26388,1.80064,0.01724,0.23745,0.01151,0.00404,1.00456,32.7613,0.78966,0.00036,0.00036,0.00036
2,32.1843,1.84828,2.22334,1.42168,0.01849,0.25459,0.09898,0.0418,0.88938,32.7286,0.78871,0.000732684,0.000732684,0.000732684
3,48.5182,1.71975,1.75682,1.38002,0.26703,0.10282,0.09314,0.03347,1.02432,82.005,0.95586,0.00109785,0.00109785,0.00109785
4,65.1924,1.68205,1.67248,1.36743,0.56287,0.08984,0.15603,0.06708,0.97984,33.0428,0.90776,0.00145551,0.00145551,0.00145551
5,79.1872,1.63961,1.56851,1.38292,0.50852,0.20896,0.24339,0.10254,0.90917,26.6015,0.79873,0.00180565,0.00180565,0.00180565
6,95.7164,1.65168,1.55548,1.36822,0.55531,0.39969,0.41785,0.20778,0.83861,30.5867,0.78474,0.00190113,0.00190113,0.00190113
7,109.128,1.59631,1.4885,1.33885,0.5215,0.45532,0.46655,0.25289,0.74611,93.6676,0.70873,0.00188136,0.00188136,0.00188136
8,126.551,1.60761,1.46046,1.33692,0.57593,0.46879,0.49484,0.25053,0.77709,94.3339,0.7103,0.00186159,0.00186159,0.00186159
9,139.686,1.58128,1.39906,1.33591,0.51564,0.49572,0.50326,0.28013,0.75758,37.8127,0.70607,0.00184182,0.00184182,0.00184182
10,153.792,1.57865,1.37864,1.32376,0.5265,0.47975,0.46252,0.24416,0.77306,128.836,0.73526,0.00182204,0.00182204,0.00182204
11,165.807,1.57221,1.36731,1.31899,0.47773,0.41705,0.40058,0.18883,0.85353,9.44176,0.74912,0.00180227,0.00180227,0.00180227
12,178.934,1.56121,1.35875,1.31578,0.59072,0.46634,0.51342,0.27525,0.7782,24.0138,0.705,0.0017825,0.0017825,0.0017825
13,194.215,1.58179,1.35198,1.33451,0.61091,0.49101,0.53814,0.29907,0.7369,4.0424,0.68554,0.00176272,0.00176272,0.00176272
14,215.443,1.52444,1.29701,1.3,0.61903,0.541,0.58532,0.32208,0.76422,9.09934,0.71234,0.00174295,0.00174295,0.00174295
15,227.791,1.50052,1.27403,1.30877,0.62839,0.51743,0.57749,0.32352,0.73138,27.9866,0.69883,0.00172318,0.00172318,0.00172318
16,240.462,1.49424,1.29339,1.28792,0.64159,0.49633,0.55728,0.31542,0.72884,10.8602,0.69637,0.00170341,0.00170341,0.00170341
17,251.815,1.48318,1.25197,1.28566,0.66944,0.51285,0.58602,0.31371,0.78267,23.9353,0.71706,0.00168363,0.00168363,0.00168363
18,264.618,1.48837,1.25328,1.28751,0.66577,0.54774,0.6139,0.34818,0.71973,4.28421,0.69193,0.00166386,0.00166386,0.00166386
19,278.631,1.48656,1.24698,1.27603,0.6626,0.52081,0.59377,0.34571,0.69722,6.7901,0.67289,0.00164409,0.00164409,0.00164409
20,290.471,1.4916,1.23453,1.28603,0.63858,0.47858,0.55083,0.30801,0.71541,5.29986,0.67487,0.00162431,0.00162431,0.00162431
21,302.479,1.46795,1.20784,1.26588,0.59884,0.49143,0.54474,0.28739,0.78725,3.94123,0.73291,0.00160454,0.00160454,0.00160454
22,320.178,1.44721,1.19065,1.26176,0.6102,0.5499,0.58522,0.34859,0.68824,10.0898,0.66993,0.00158477,0.00158477,0.00158477
23,334.793,1.44798,1.17499,1.26833,0.60981,0.54957,0.57906,0.34155,0.69542,4.19297,0.66764,0.00156499,0.00156499,0.00156499
24,349.536,1.45099,1.19189,1.25487,0.61484,0.57589,0.605,0.35371,0.69512,15.9863,0.66495,0.00154522,0.00154522,0.00154522
25,368.146,1.42774,1.20339,1.25365,0.67408,0.54957,0.61564,0.35696,0.69374,6.82708,0.65527,0.00152545,0.00152545,0.00152545
26,381.69,1.41172,1.1678,1.25456,0.61701,0.51958,0.58227,0.3299,0.73528,5.66246,0.69056,0.00150568,0.00150568,0.00150568
27,393.844,1.43919,1.17273,1.26063,0.6595,0.55948,0.61606,0.35149,0.70697,31.1502,0.66706,0.0014859,0.0014859,0.0014859
28,407.728,1.41297,1.18414,1.24577,0.6783,0.55263,0.62176,0.36738,0.69378,40.9138,0.67756,0.00146613,0.00146613,0.00146613
29,420.903,1.40094,1.14226,1.24547,0.67738,0.57951,0.64926,0.37746,0.70253,4.61543,0.67547,0.00144636,0.00144636,0.00144636
30,433.699,1.4176,1.14919,1.23952,0.60131,0.5306,0.58008,0.33943,0.71236,9.31535,0.67802,0.00142658,0.00142658,0.00142658
31,445.851,1.40343,1.12133,1.23463,0.58342,0.54284,0.58311,0.35638,0.67518,4.47187,0.65044,0.00140681,0.00140681,0.00140681
32,462.123,1.39033,1.13001,1.23996,0.67699,0.5695,0.64105,0.38357,0.67786,4.94715,0.6518,0.00138704,0.00138704,0.00138704
33,475.134,1.39924,1.10647,1.22506,0.68318,0.59518,0.66723,0.40283,0.66583,5.36097,0.64876,0.00136726,0.00136726,0.00136726
34,492.365,1.39939,1.11595,1.23071,0.69425,0.57466,0.65391,0.39565,0.66528,16.6705,0.65462,0.00134749,0.00134749,0.00134749
35,512.044,1.38138,1.10309,1.22991,0.6842,0.55569,0.62756,0.36718,0.69867,4.47843,0.66542,0.00132772,0.00132772,0.00132772
36,526.675,1.4047,1.11599,1.23163,0.72657,0.54468,0.65303,0.38832,0.66846,1.22044,0.64849,0.00130795,0.00130795,0.00130795
37,545.961,1.36469,1.10029,1.22629,0.7128,0.56487,0.65461,0.38643,0.67834,2.28152,0.66024,0.00128817,0.00128817,0.00128817
38,558.587,1.35818,1.07721,1.22582,0.65645,0.59425,0.6557,0.38747,0.67569,1.63382,0.64182,0.0012684,0.0012684,0.0012684
39,570.699,1.40069,1.10635,1.23153,0.61018,0.56422,0.58616,0.35104,0.6872,22.8579,0.66669,0.00124863,0.00124863,0.00124863
40,583.133,1.36693,1.08768,1.22978,0.66636,0.57222,0.6288,0.38742,0.66539,3.36904,0.65436,0.00122885,0.00122885,0.00122885
41,595.346,1.36074,1.06705,1.21831,0.73361,0.57222,0.67112,0.40661,0.66081,0.91696,0.64537,0.00120908,0.00120908,0.00120908
42,608.874,1.35186,1.07136,1.2113,0.68404,0.58694,0.6549,0.39314,0.67523,1.97193,0.65366,0.00118931,0.00118931,0.00118931
43,622.567,1.34152,1.06214,1.21048,0.68572,0.52999,0.61073,0.35586,0.70845,0.81785,0.66902,0.00116953,0.00116953,0.00116953
44,636.878,1.3481,1.0583,1.2126,0.67623,0.58031,0.64485,0.38371,0.68813,3.61834,0.65618,0.00114976,0.00114976,0.00114976
45,654.516,1.33809,1.0512,1.20379,0.69795,0.59058,0.66001,0.39067,0.68611,1.24724,0.66291,0.00112999,0.00112999,0.00112999
46,668.329,1.34014,1.0315,1.21102,0.68531,0.58908,0.6577,0.38453,0.6849,0.9755,0.65784,0.00111021,0.00111021,0.00111021
47,682.15,1.32919,1.03689,1.20113,0.6868,0.60098,0.66332,0.39528,0.66554,3.02036,0.64866,0.00109044,0.00109044,0.00109044
48,697.348,1.3505,1.03483,1.21411,0.67487,0.57834,0.638,0.35776,0.72428,20.9783,0.67733,0.00107067,0.00107067,0.00107067
49,711.085,1.33832,1.02265,1.21025,0.74429,0.57038,0.67588,0.40569,0.66882,2.34909,0.65097,0.0010509,0.0010509,0.0010509
50,723.922,1.32404,1.0339,1.19491,0.71167,0.57772,0.66981,0.40075,0.67164,0.78376,0.65259,0.00103112,0.00103112,0.00103112
51,735.874,1.29794,1.00498,1.1952,0.6526,0.57528,0.63995,0.37857,0.68871,5.05726,0.66207,0.00101135,0.00101135,0.00101135
52,754.007,1.32679,1.03032,1.18624,0.70473,0.60159,0.68606,0.41596,0.6489,9.24178,0.64296,0.000991577,0.000991577,0.000991577
53,768.917,1.28347,0.9977,1.18409,0.68009,0.62059,0.67956,0.40458,0.66311,1.13789,0.65418,0.000971804,0.000971804,0.000971804
54,780.893,1.29455,1.00727,1.18298,0.72014,0.58507,0.67126,0.40188,0.65621,0.61724,0.64425,0.000952031,0.000952031,0.000952031
55,794.108,1.29462,1.00179,1.18819,0.71692,0.60832,0.67556,0.40213,0.66953,2.47054,0.65519,0.000932258,0.000932258,0.000932258
56,809.741,1.27479,0.97229,1.17656,0.70728,0.59486,0.6713,0.39982,0.66903,4.80121,0.64656,0.000912485,0.000912485,0.000912485
57,821.378,1.29078,0.98705,1.18229,0.71146,0.60404,0.68152,0.40824,0.66744,4.33367,0.64945,0.000892712,0.000892712,0.000892712
58,836.872,1.30748,0.99801,1.18037,0.69107,0.59853,0.66696,0.39071,0.68625,7.04804,0.66246,0.000872939,0.000872939,0.000872939
59,848.898,1.29275,0.97891,1.18079,0.69831,0.61077,0.67746,0.4059,0.66235,3.22879,0.65647,0.000853166,0.000853166,0.000853166
60,862.585,1.27636,0.96873,1.18142,0.71776,0.59608,0.68314,0.41872,0.65092,1.34806,0.64311,0.000833393,0.000833393,0.000833393
61,876.61,1.29637,0.9725,1.17679,0.67374,0.59425,0.65668,0.40165,0.66435,1.36214,0.64953,0.00081362,0.00081362,0.00081362
62,890.37,1.30639,0.98784,1.18914,0.69755,0.60037,0.67397,0.41121,0.65991,1.57032,0.64566,0.000793847,0.000793847,0.000793847
63,902.975,1.28101,0.97885,1.17491,0.72282,0.59914,0.67657,0.40454,0.67059,1.90319,0.65148,0.000774074,0.000774074,0.000774074
64,915.588,1.25808,0.9709,1.16786,0.71541,0.60921,0.69527,0.4229,0.65648,0.7071,0.64543,0.000754301,0.000754301,0.000754301
65,928.528,1.26721,0.95029,1.16605,0.68927,0.60098,0.67388,0.41532,0.65503,0.98402,0.64426,0.000734528,0.000734528,0.000734528
66,941.206,1.25507,0.95164,1.16371,0.68702,0.61812,0.68968,0.41993,0.64736,0.93633,0.64005,0.000714755,0.000714755,0.000714755
67,959.165,1.26169,0.9316,1.16328,0.69069,0.6177,0.68641,0.41973,0.65966,1.26051,0.65098,0.000694982,0.000694982,0.000694982
68,973.698,1.25132,0.93939,1.16062,0.70364,0.61077,0.68662,0.42139,0.64555,0.79333,0.64056,0.000675209,0.000675209,0.000675209
69,987.888,1.28146,0.95143,1.16548,0.72868,0.59976,0.69248,0.42526,0.6487,2.603,0.64011,0.000655436,0.000655436,0.000655436
70,1001.49,1.24511,0.93599,1.15723,0.65929,0.63358,0.67389,0.41315,0.65848,2.00828,0.64911,0.000635663,0.000635663,0.000635663
71,1014.58,1.22741,0.91781,1.15604,0.69705,0.63586,0.69854,0.42968,0.64806,1.02708,0.64455,0.00061589,0.00061589,0.00061589
72,1027.06,1.22618,0.92173,1.15201,0.74566,0.56487,0.66847,0.40914,0.65593,0.83916,0.64544,0.000596117,0.000596117,0.000596117
73,1039.64,1.25353,0.92438,1.15779,0.69566,0.60713,0.67382,0.41073,0.65694,0.99532,0.64772,0.000576344,0.000576344,0.000576344
74,1050.19,1.22836,0.91147,1.14608,0.72937,0.60037,0.69781,0.41946,0.66084,1.00323,0.64714,0.000556571,0.000556571,0.000556571
75,1062.73,1.20191,0.88926,1.14475,0.70748,0.61261,0.69638,0.42613,0.64638,0.58448,0.64151,0.000536798,0.000536798,0.000536798
76,1079.25,1.21615,0.90841,1.15551,0.72829,0.59381,0.68718,0.42861,0.64189,0.70863,0.64063,0.000517025,0.000517025,0.000517025
77,1092.11,1.2201,0.90628,1.13822,0.71733,0.63219,0.70345,0.43683,0.63239,0.71369,0.63346,0.000497252,0.000497252,0.000497252
78,1105.53,1.19202,0.8861,1.13972,0.7416,0.61261,0.70918,0.4328,0.64309,1.97773,0.63615,0.000477479,0.000477479,0.000477479
79,1117.47,1.22922,0.89828,1.14946,0.72441,0.6274,0.70981,0.43459,0.64164,1.22533,0.63631,0.000457706,0.000457706,0.000457706
80,1130.95,1.24338,0.91681,1.15359,0.72859,0.61442,0.69539,0.42049,0.65786,1.32136,0.6456,0.000437933,0.000437933,0.000437933
81,1145.77,1.22903,0.88769,1.14419,0.70486,0.61678,0.69574,0.42452,0.65115,0.96589,0.63807,0.00041816,0.00041816,0.00041816
82,1162.34,1.21793,0.88152,1.13874,0.70764,0.61261,0.68857,0.41582,0.65892,0.68137,0.64599,0.000398387,0.000398387,0.000398387
83,1175.3,1.2156,0.88217,1.13818,0.73308,0.61567,0.6965,0.43013,0.64134,0.82731,0.64019,0.000378614,0.000378614,0.000378614
84,1187.36,1.22452,0.88565,1.13931,0.72583,0.59946,0.68755,0.42499,0.64467,0.53698,0.64132,0.000358841,0.000358841,0.000358841
85,1202.1,1.18374,0.85571,1.13743,0.74259,0.61262,0.70065,0.43183,0.648,0.57368,0.64394,0.000339068,0.000339068,0.000339068
86,1218.71,1.19063,0.86283,1.1288,0.7194,0.61322,0.69679,0.42753,0.64141,0.59522,0.63735,0.000319295,0.000319295,0.000319295
87,1235.76,1.17965,0.8491,1.13532,0.75075,0.5991,0.70347,0.43079,0.64382,0.62602,0.63988,0.000299522,0.000299522,0.000299522
88,1252.72,1.19045,0.8553,1.12988,0.71801,0.64198,0.69735,0.42883,0.63827,0.61447,0.63717,0.000279749,0.000279749,0.000279749
89,1265.74,1.17165,0.84193,1.12214,0.71564,0.63586,0.70915,0.43537,0.63498,0.57775,0.63345,0.000259976,0.000259976,0.000259976
90,1277.9,1.17997,0.85284,1.12795,0.72738,0.64382,0.71594,0.44041,0.643,0.60027,0.63885,0.000240203,0.000240203,0.000240203
91,1350.85,1.27206,1.02051,1.20759,0.72753,0.64382,0.71027,0.44341,0.63295,1.47587,0.63345,0.00022043,0.00022043,0.00022043
92,1368.51,1.25307,0.98862,1.18771,0.73404,0.62668,0.71099,0.44815,0.62095,0.62694,0.62653,0.000200657,0.000200657,0.000200657
93,1386.06,1.22588,0.97505,1.17041,0.71571,0.6224,0.70998,0.444,0.62564,0.55118,0.62759,0.000180884,0.000180884,0.000180884
94,1398,1.21529,0.96455,1.17907,0.73396,0.62639,0.71314,0.44794,0.62282,0.55722,0.62489,0.000161111,0.000161111,0.000161111
95,1412.35,1.22041,0.96631,1.17883,0.72905,0.64076,0.71654,0.4516,0.62077,0.52041,0.62344,0.000141338,0.000141338,0.000141338
96,1429.15,1.22584,0.94806,1.16165,0.72847,0.63953,0.71621,0.45302,0.62218,0.53217,0.62637,0.000121565,0.000121565,0.000121565
97,1445.56,1.20331,0.95002,1.173,0.74868,0.63629,0.72024,0.45449,0.61877,0.50721,0.62514,0.000101792,0.000101792,0.000101792
98,1459.91,1.20322,0.93977,1.16369,0.73205,0.64749,0.72499,0.45838,0.62006,0.54176,0.62541,8.2019e-05,8.2019e-05,8.2019e-05
99,1472.83,1.20401,0.94303,1.16547,0.76087,0.63158,0.7296,0.46097,0.61808,0.69716,0.62429,6.2246e-05,6.2246e-05,6.2246e-05
100,1485.75,1.18988,0.93026,1.16666,0.74243,0.64137,0.72692,0.4599,0.61752,0.56896,0.62438,4.2473e-05,4.2473e-05,4.2473e-05
