epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,534.087,0.42301,0.56658,0.39131,0.83453,0.90605,0.83784,0.91517,0.66888,0.91232,0.84363,0.92216,0.54616,0.61022,0.80983,0.5312,0.98664,0.00703065,0.00703065,0.00703065
31,551.731,0.41791,0.55409,0.38617,0.83572,0.8594,0.84957,0.8931,0.63188,0.87632,0.85521,0.89982,0.51565,0.65129,0.84751,0.58522,1.02453,0.00693309,0.00693309,0.00693309
32,569.237,0.4165,0.56692,0.38373,0.83102,0.89768,0.82986,0.89677,0.64722,0.89976,0.83179,0.89164,0.52708,0.6347,0.79927,0.57324,1.01802,0.00683552,0.00683552,0.00683552
33,586.734,0.40843,0.54542,0.37959,0.82928,0.87323,0.8378,0.90684,0.65476,0.89153,0.85328,0.91711,0.53414,0.63585,0.80978,0.55152,1.00917,0.00673796,0.00673796,0.00673796
34,604.374,0.39739,0.52661,0.3711,0.82769,0.87062,0.85742,0.90769,0.65579,0.87847,0.86514,0.91205,0.52434,0.63848,0.82524,0.52236,1.01726,0.0066404,0.0066404,0.0066404
35,621.769,0.40113,0.52948,0.37235,0.82906,0.88182,0.86427,0.91351,0.66185,0.89523,0.87452,0.92174,0.54218,0.65082,0.80222,0.53167,1.02355,0.00654283,0.00654283,0.00654283
36,639.172,0.39318,0.53161,0.36527,0.82309,0.90309,0.84557,0.90832,0.67067,0.90106,0.84389,0.90434,0.53652,0.62683,0.82165,0.50899,1.03186,0.00644527,0.00644527,0.00644527
37,656.791,0.39485,0.52983,0.36391,0.82159,0.89394,0.83977,0.90545,0.66952,0.88596,0.8417,0.90362,0.53338,0.62068,0.83217,0.532,1.0119,0.00634771,0.00634771,0.00634771
38,674.405,0.39248,0.51121,0.35866,0.82561,0.88073,0.87259,0.91154,0.66947,0.88146,0.86486,0.90534,0.5445,0.61919,0.7997,0.50513,1.0121,0.00625014,0.00625014,0.00625014
39,692.03,0.3848,0.50679,0.35566,0.81804,0.88552,0.83205,0.9071,0.66797,0.89673,0.8417,0.9182,0.54745,0.61934,0.79777,0.51008,1.0266,0.00615258,0.00615258,0.00615258
40,709.588,0.37653,0.50858,0.35152,0.8204,0.87858,0.85214,0.90717,0.66482,0.8746,0.84827,0.90602,0.53668,0.6289,0.80719,0.55381,1.01299,0.00605502,0.00605502,0.00605502
41,727.129,0.38314,0.51283,0.35528,0.81717,0.89163,0.84179,0.91003,0.67642,0.90089,0.84229,0.90062,0.53802,0.60515,0.81726,0.51386,1.00171,0.00595745,0.00595745,0.00595745
42,744.632,0.37833,0.50699,0.34849,0.81514,0.88641,0.87375,0.91256,0.66507,0.89422,0.85907,0.90919,0.53937,0.61789,0.8039,0.5124,0.99534,0.00585989,0.00585989,0.00585989
43,762.138,0.36594,0.50088,0.33818,0.81132,0.8829,0.85135,0.89503,0.66319,0.88541,0.85027,0.8995,0.53773,0.61814,0.80787,0.51618,1.0011,0.00576232,0.00576232,0.00576232
44,779.712,0.36661,0.50196,0.34248,0.81045,0.89609,0.86572,0.91268,0.67316,0.89817,0.86844,0.91461,0.55082,0.61555,0.7763,0.50795,0.99949,0.00566476,0.00566476,0.00566476
45,797.164,0.36591,0.48749,0.33368,0.80983,0.85909,0.86873,0.90079,0.65446,0.86445,0.87415,0.90954,0.54326,0.6233,0.77711,0.51122,1.02119,0.0055672,0.0055672,0.0055672
46,814.6,0.36424,0.48141,0.33428,0.81274,0.89062,0.86455,0.92472,0.68535,0.89553,0.84395,0.91618,0.54406,0.60456,0.80537,0.48227,0.99788,0.00546963,0.00546963,0.00546963
47,832.37,0.36738,0.49576,0.33719,0.81601,0.88222,0.87066,0.91489,0.66954,0.88222,0.87066,0.91279,0.55134,0.61213,0.78259,0.51125,1.00891,0.00537207,0.00537207,0.00537207
48,849.958,0.35663,0.48708,0.33373,0.80883,0.86008,0.89,0.92565,0.69166,0.89701,0.85521,0.92048,0.55816,0.59434,0.76392,0.4615,0.97793,0.00527451,0.00527451,0.00527451
49,867.414,0.3615,0.48716,0.33257,0.81136,0.8853,0.86426,0.91633,0.67955,0.92802,0.84363,0.93183,0.56059,0.61011,0.80296,0.48213,1.01177,0.00517694,0.00517694,0.00517694
50,884.963,0.34881,0.4799,0.32623,0.80143,0.89688,0.87309,0.91902,0.67553,0.90883,0.88525,0.93532,0.54931,0.61361,0.80316,0.47781,1.01046,0.00507938,0.00507938,0.00507938
51,902.368,0.35947,0.48333,0.33109,0.81318,0.89707,0.87493,0.92134,0.68366,0.89707,0.87493,0.9255,0.55662,0.60175,0.78105,0.48048,0.98258,0.00498181,0.00498181,0.00498181
52,919.998,0.35061,0.46909,0.32757,0.80815,0.9137,0.83799,0.923,0.68459,0.90272,0.85328,0.92809,0.56292,0.59972,0.76776,0.47899,0.99169,0.00488425,0.00488425,0.00488425
53,937.322,0.34808,0.47613,0.32321,0.80297,0.90556,0.87002,0.92185,0.67681,0.91908,0.861,0.91968,0.54968,0.60207,0.77382,0.49501,0.99199,0.00478669,0.00478669,0.00478669
54,954.652,0.34395,0.46112,0.31658,0.80101,0.90331,0.88373,0.92636,0.6882,0.90906,0.88772,0.93348,0.55881,0.60349,0.77451,0.46393,0.98644,0.00468912,0.00468912,0.00468912
55,972.089,0.34144,0.4581,0.3129,0.7961,0.90401,0.87272,0.91914,0.67093,0.91063,0.87066,0.92377,0.56046,0.61239,0.78483,0.49279,1.00105,0.00459156,0.00459156,0.00459156
56,989.614,0.34458,0.4599,0.31793,0.80054,0.91606,0.86486,0.91797,0.68228,0.92015,0.86873,0.92897,0.56167,0.60626,0.76276,0.46603,0.9986,0.004494,0.004494,0.004494
57,1007.18,0.336,0.45131,0.31141,0.80151,0.90362,0.86881,0.92042,0.68972,0.90254,0.87259,0.92676,0.56505,0.60158,0.76439,0.48309,1.00044,0.00439643,0.00439643,0.00439643
58,1024.88,0.33665,0.45632,0.31352,0.80289,0.87812,0.87645,0.92091,0.68775,0.87618,0.87452,0.91827,0.56229,0.5957,0.76446,0.47422,0.9867,0.00429887,0.00429887,0.00429887
59,1042.28,0.32853,0.4467,0.30502,0.79373,0.8739,0.87838,0.91839,0.68088,0.87774,0.88224,0.92807,0.55575,0.59837,0.77136,0.48658,0.99874,0.0042013,0.0042013,0.0042013
60,1059.58,0.33002,0.44263,0.30831,0.80048,0.86853,0.86722,0.91485,0.68486,0.89074,0.86873,0.92205,0.55654,0.60065,0.78398,0.47869,1.00013,0.00410374,0.00410374,0.00410374
61,1076.99,0.33033,0.44558,0.30187,0.79935,0.91186,0.85885,0.91825,0.69161,0.92006,0.86657,0.92043,0.55918,0.60026,0.76237,0.45861,0.98647,0.00400618,0.00400618,0.00400618
62,1094.52,0.32631,0.435,0.30202,0.79892,0.89746,0.8861,0.92843,0.68667,0.89942,0.88803,0.92819,0.55106,0.59415,0.77727,0.46198,0.98423,0.00390861,0.00390861,0.00390861
63,1111.91,0.32769,0.43635,0.30174,0.79846,0.86967,0.88803,0.92869,0.69477,0.88227,0.86873,0.92536,0.55168,0.59213,0.77177,0.45081,0.97624,0.00381105,0.00381105,0.00381105
64,1129.57,0.32363,0.43732,0.29408,0.79398,0.90094,0.87645,0.9248,0.69265,0.89897,0.87838,0.92915,0.55994,0.59092,0.7751,0.46847,0.98818,0.00371349,0.00371349,0.00371349
65,1147.12,0.31802,0.43127,0.29171,0.79905,0.91246,0.86531,0.93064,0.69832,0.9145,0.86724,0.93448,0.56809,0.58512,0.7574,0.45504,0.97121,0.00361592,0.00361592,0.00361592
66,1164.58,0.3162,0.42693,0.29194,0.79008,0.89683,0.88944,0.93021,0.70542,0.90113,0.89731,0.93699,0.57601,0.57845,0.76975,0.44566,0.98315,0.00351836,0.00351836,0.00351836
67,1182.12,0.32223,0.43968,0.28934,0.79588,0.92017,0.8668,0.93059,0.69479,0.92233,0.87118,0.93451,0.57011,0.59828,0.76341,0.45153,0.98657,0.00342079,0.00342079,0.00342079
68,1199.59,0.31301,0.42124,0.28534,0.79128,0.89632,0.88455,0.93202,0.69743,0.89632,0.88455,0.93864,0.57166,0.5878,0.76452,0.43787,0.97803,0.00332323,0.00332323,0.00332323
69,1217,0.3082,0.42109,0.28181,0.79016,0.91466,0.87066,0.9271,0.68691,0.92277,0.87838,0.93662,0.561,0.58896,0.77976,0.44414,0.98385,0.00322567,0.00322567,0.00322567
70,1234.49,0.30786,0.42746,0.28409,0.78654,0.90285,0.88224,0.92748,0.69104,0.89804,0.88414,0.92853,0.56297,0.58404,0.77065,0.4518,0.97628,0.0031281,0.0031281,0.0031281
71,1251.99,0.30538,0.41867,0.27881,0.78726,0.89428,0.91444,0.93921,0.70564,0.8999,0.90154,0.93251,0.57468,0.58061,0.77067,0.43588,0.97379,0.00303054,0.00303054,0.00303054
72,1269.58,0.30554,0.41954,0.27846,0.78546,0.91217,0.88803,0.93394,0.69905,0.92593,0.89575,0.94036,0.56847,0.58356,0.76175,0.43139,0.97675,0.00293298,0.00293298,0.00293298
73,1287.25,0.30387,0.41598,0.27915,0.78541,0.90051,0.89118,0.92633,0.69179,0.9055,0.89961,0.92847,0.56444,0.59164,0.76338,0.44323,0.97954,0.00283541,0.00283541,0.00283541
74,1304.75,0.29838,0.41092,0.27371,0.77864,0.90222,0.87259,0.92479,0.69337,0.91044,0.88031,0.9332,0.56566,0.59202,0.76407,0.45317,0.97086,0.00273785,0.00273785,0.00273785
75,1322.15,0.29764,0.40732,0.27353,0.78411,0.89372,0.90912,0.93229,0.69457,0.8975,0.91283,0.93834,0.57304,0.59966,0.74691,0.44346,0.98253,0.00264029,0.00264029,0.00264029
76,1339.69,0.30019,0.40912,0.27015,0.78754,0.91036,0.89382,0.93562,0.71251,0.91429,0.89768,0.93788,0.57529,0.58665,0.76909,0.43188,0.97247,0.00254272,0.00254272,0.00254272
77,1357.15,0.29491,0.4055,0.27212,0.78679,0.92866,0.90464,0.93791,0.70355,0.93389,0.89575,0.93815,0.58231,0.57945,0.7565,0.43253,0.96421,0.00244516,0.00244516,0.00244516
78,1374.39,0.29348,0.40965,0.27073,0.78134,0.94055,0.88565,0.94484,0.71375,0.9426,0.88758,0.94395,0.58417,0.5804,0.76128,0.41983,0.96844,0.00234759,0.00234759,0.00234759
79,1391.92,0.29751,0.40773,0.26838,0.78442,0.91363,0.90734,0.93651,0.70146,0.91558,0.90927,0.94572,0.57754,0.5856,0.76348,0.43362,0.97878,0.00225003,0.00225003,0.00225003
80,1409.3,0.28583,0.39192,0.26253,0.77914,0.91625,0.91506,0.93656,0.70813,0.92059,0.91755,0.94299,0.58017,0.58173,0.7568,0.42716,0.97398,0.00215247,0.00215247,0.00215247
81,1426.7,0.28194,0.38654,0.2584,0.77836,0.92921,0.88803,0.93337,0.70609,0.93325,0.89189,0.9381,0.57521,0.58357,0.75603,0.43122,0.96258,0.0020549,0.0020549,0.0020549
82,1444.14,0.28572,0.39853,0.25852,0.77675,0.9079,0.89443,0.93604,0.71479,0.90998,0.89763,0.94198,0.58154,0.58115,0.75174,0.42766,0.97151,0.00195734,0.00195734,0.00195734
83,1461.63,0.27972,0.38894,0.25569,0.77307,0.91725,0.89768,0.93653,0.71777,0.9236,0.91012,0.94597,0.58295,0.57235,0.74944,0.42356,0.95713,0.00185978,0.00185978,0.00185978
84,1479.26,0.2802,0.39062,0.25433,0.77946,0.91591,0.88031,0.92879,0.69969,0.91993,0.88417,0.93679,0.57511,0.57683,0.74543,0.43221,0.95951,0.00176221,0.00176221,0.00176221
85,1496.59,0.27545,0.37852,0.2518,0.77641,0.89418,0.9135,0.93158,0.70956,0.90074,0.91097,0.94228,0.58041,0.5819,0.74675,0.42983,0.96708,0.00166465,0.00166465,0.00166465
86,1513.88,0.27262,0.38183,0.2469,0.77684,0.92176,0.88704,0.93928,0.70837,0.92245,0.8955,0.94304,0.57721,0.58212,0.75216,0.42822,0.96496,0.00156708,0.00156708,0.00156708
87,1531.29,0.2707,0.37836,0.24713,0.77869,0.90993,0.89708,0.93613,0.70967,0.91577,0.90255,0.94489,0.57765,0.58721,0.75835,0.42009,0.96606,0.00146952,0.00146952,0.00146952
88,1548.7,0.26851,0.38277,0.24523,0.77263,0.92581,0.88224,0.93684,0.70874,0.93219,0.88996,0.94763,0.58148,0.57513,0.7514,0.423,0.9593,0.00137196,0.00137196,0.00137196
