epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1354.41,0.93362,1.23898,0.61026,1.05599,0.88765,0.88996,0.93454,0.69744,0.90427,0.89356,0.94062,0.57511,0.93539,1.11847,0.56588,1.08158,0.000509011,0.000509011,0.000509011
31,1392.04,0.94236,1.26348,0.61034,1.06807,0.91997,0.89768,0.9416,0.70533,0.92668,0.90278,0.94883,0.59227,0.92233,1.12098,0.56156,1.08157,0.000501942,0.000501942,0.000501942
32,1431.56,0.93365,1.28349,0.61079,1.04463,0.91278,0.90909,0.94423,0.7123,0.92033,0.9112,0.95236,0.58714,0.91438,1.13718,0.53633,1.0874,0.000494873,0.000494873,0.000494873
33,1474.94,0.93163,1.2406,0.58742,1.05628,0.91182,0.88224,0.93998,0.6965,0.91561,0.90068,0.95393,0.5743,0.92938,1.15359,0.55588,1.07141,0.000487805,0.000487805,0.000487805
34,1518.07,0.91327,1.19715,0.58619,1.04943,0.88321,0.91506,0.94313,0.70863,0.9014,0.90927,0.94632,0.58942,0.90802,1.1021,0.55861,1.06396,0.000480736,0.000480736,0.000480736
35,1553.55,0.91537,1.23069,0.59596,1.04766,0.93391,0.87301,0.93666,0.70588,0.93804,0.87687,0.95243,0.5834,0.93748,1.11165,0.58036,1.09152,0.000473668,0.000473668,0.000473668
36,1592.64,0.92446,1.23752,0.59343,1.05003,0.92718,0.88482,0.94726,0.70726,0.93122,0.88868,0.95611,0.58501,0.91426,1.10229,0.5394,1.07407,0.000466599,0.000466599,0.000466599
37,1635.42,0.91155,1.20167,0.584,1.04076,0.91903,0.92664,0.95901,0.72051,0.9152,0.92278,0.95356,0.60322,0.89613,1.10982,0.51576,1.06132,0.00045953,0.00045953,0.00045953
38,1678.62,0.91718,1.22802,0.57895,1.05014,0.93708,0.89768,0.94594,0.71511,0.92845,0.90181,0.94547,0.59049,0.90516,1.12739,0.53013,1.07306,0.000452462,0.000452462,0.000452462
39,1714.54,0.90474,1.19367,0.58378,1.04553,0.92,0.91027,0.94453,0.71596,0.92772,0.91699,0.9585,0.59513,0.88863,1.10485,0.53092,1.06483,0.000445393,0.000445393,0.000445393
40,1754.97,0.90032,1.22143,0.57833,1.04208,0.92264,0.88417,0.94539,0.71764,0.92868,0.88996,0.95228,0.59818,0.89876,1.09028,0.52931,1.06302,0.000438325,0.000438325,0.000438325
41,1798.65,0.89254,1.1886,0.56975,1.04052,0.90709,0.90472,0.93737,0.70648,0.91652,0.9112,0.95205,0.59668,0.91455,1.09894,0.58675,1.07792,0.000431256,0.000431256,0.000431256
42,1841.9,0.91539,1.2314,0.58061,1.03965,0.92868,0.90498,0.9447,0.71874,0.93241,0.90553,0.95329,0.59494,0.89576,1.08803,0.52138,1.05472,0.000424187,0.000424187,0.000424187
43,1875.43,0.89902,1.20841,0.55182,1.04489,0.91232,0.92399,0.94665,0.72536,0.92182,0.93331,0.95788,0.59859,0.87897,1.09477,0.50771,1.05884,0.000417119,0.000417119,0.000417119
44,1915.55,0.88152,1.19595,0.55058,1.03076,0.90692,0.9405,0.94547,0.71852,0.9089,0.94208,0.9541,0.59453,0.89663,1.11521,0.51834,1.06444,0.00041005,0.00041005,0.00041005
45,1958.56,0.88509,1.18295,0.54779,1.03273,0.90483,0.91892,0.95455,0.72958,0.92328,0.90609,0.95562,0.60627,0.87209,1.09753,0.51565,1.05593,0.000402982,0.000402982,0.000402982
46,2001.27,0.90308,1.20486,0.55239,1.04656,0.94421,0.91486,0.95501,0.7184,0.94817,0.91831,0.96424,0.59949,0.89653,1.08127,0.50548,1.0649,0.000395913,0.000395913,0.000395913
47,2035.66,0.90686,1.21707,0.55793,1.0417,0.94464,0.88224,0.93814,0.70734,0.95291,0.88996,0.94772,0.58495,0.89723,1.09745,0.56091,1.0732,0.000388844,0.000388844,0.000388844
48,2076.14,0.87783,1.19097,0.56156,1.02721,0.93394,0.90154,0.95047,0.72759,0.94065,0.90927,0.95888,0.60853,0.88107,1.07753,0.50281,1.0657,0.000381776,0.000381776,0.000381776
49,2119.38,0.88234,1.20875,0.55031,1.02632,0.93243,0.90541,0.94592,0.72657,0.94443,0.91313,0.9585,0.60683,0.89118,1.08371,0.50084,1.07331,0.000374707,0.000374707,0.000374707
50,2155.42,0.876,1.19059,0.53664,1.01364,0.92373,0.91189,0.95623,0.72868,0.93541,0.92085,0.96573,0.61772,0.87599,1.05918,0.49062,1.04618,0.000367639,0.000367639,0.000367639
51,2194.76,0.87977,1.21844,0.54527,1.02962,0.93238,0.9112,0.94966,0.72353,0.92992,0.92221,0.95827,0.59448,0.89912,1.09361,0.50855,1.05595,0.00036057,0.00036057,0.00036057
52,2237.19,0.88379,1.19577,0.54073,1.02745,0.92942,0.9112,0.95121,0.73149,0.93778,0.92085,0.96183,0.61352,0.85921,1.05287,0.50155,1.03606,0.000353501,0.000353501,0.000353501
53,2279.58,0.86055,1.19224,0.53537,1.0213,0.93845,0.91699,0.95627,0.72884,0.94466,0.92275,0.96415,0.61016,0.88421,1.06226,0.49371,1.05387,0.000346433,0.000346433,0.000346433
54,2314.54,0.85683,1.19312,0.5288,1.0104,0.93971,0.90154,0.95419,0.73341,0.95326,0.91313,0.96577,0.6179,0.87953,1.0585,0.48365,1.05597,0.000339364,0.000339364,0.000339364
55,2353.44,0.8541,1.16935,0.527,1.01128,0.95734,0.91699,0.9604,0.72455,0.96359,0.9196,0.9658,0.60776,0.89009,1.07074,0.484,1.06666,0.000332296,0.000332296,0.000332296
56,2377.25,0.85799,1.17167,0.52123,1.01884,0.93727,0.923,0.95136,0.73215,0.94764,0.93243,0.9616,0.61729,0.88721,1.08051,0.48969,1.05321,0.000325227,0.000325227,0.000325227
57,2395.31,0.84549,1.17208,0.52505,1.0142,0.9147,0.91699,0.94189,0.72114,0.92076,0.92278,0.9527,0.59665,0.86885,1.0718,0.51653,1.05107,0.000318158,0.000318158,0.000318158
58,2413.02,0.85104,1.19066,0.51935,1.01016,0.93237,0.93155,0.9587,0.73267,0.93044,0.92962,0.9557,0.60781,0.87695,1.08081,0.48227,1.05232,0.00031109,0.00031109,0.00031109
59,2430.83,0.84282,1.15661,0.51342,1.0145,0.9304,0.90329,0.94339,0.71663,0.94747,0.90533,0.95344,0.59822,0.8793,1.08452,0.49115,1.07717,0.000304021,0.000304021,0.000304021
60,2448.77,0.86059,1.17013,0.51554,1.0243,0.94205,0.89961,0.95011,0.73839,0.94174,0.90734,0.95595,0.61498,0.86552,1.09036,0.49092,1.04563,0.000296953,0.000296953,0.000296953
61,2466.68,0.84062,1.16703,0.50088,1.00444,0.92676,0.92831,0.95632,0.73409,0.93444,0.9355,0.96753,0.6109,0.88923,1.07881,0.49136,1.06379,0.000289884,0.000289884,0.000289884
62,2484.53,0.83423,1.14688,0.49542,1.00547,0.93439,0.90154,0.94691,0.72657,0.9464,0.91313,0.96353,0.60904,0.89354,1.06447,0.51144,1.06832,0.000282815,0.000282815,0.000282815
63,2502.28,0.83744,1.14554,0.52119,1.00766,0.9344,0.90748,0.9474,0.73075,0.94599,0.913,0.96115,0.61254,0.88912,1.07272,0.48221,1.06027,0.000275747,0.000275747,0.000275747
64,2520.14,0.83642,1.13319,0.48801,1.01237,0.93427,0.90546,0.94966,0.73694,0.94622,0.91705,0.96334,0.61741,0.87812,1.06635,0.48194,1.05677,0.000268678,0.000268678,0.000268678
65,2538.26,0.83855,1.15751,0.49316,1.00723,0.9282,0.91313,0.94728,0.73704,0.94151,0.92471,0.96486,0.62016,0.87241,1.06291,0.47663,1.04553,0.00026161,0.00026161,0.00026161
66,2556.37,0.84344,1.1626,0.51098,1.00821,0.94193,0.89768,0.95359,0.74246,0.92886,0.92471,0.9583,0.62242,0.86144,1.04641,0.4681,1.04646,0.000254541,0.000254541,0.000254541
67,2574.34,0.84469,1.15494,0.49559,1.01001,0.93033,0.9281,0.95298,0.73746,0.93997,0.93709,0.96702,0.62375,0.86968,1.04689,0.46517,1.04934,0.000247472,0.000247472,0.000247472
68,2592.31,0.80481,1.11646,0.47923,0.98986,0.9516,0.91102,0.95405,0.74336,0.95967,0.91874,0.96604,0.62338,0.85744,1.04991,0.45925,1.04726,0.000240404,0.000240404,0.000240404
69,2610.3,0.83456,1.15027,0.49415,1.00762,0.92224,0.91699,0.94805,0.73089,0.93195,0.92664,0.96242,0.61807,0.89346,1.0391,0.48463,1.06631,0.000233335,0.000233335,0.000233335
70,2628.23,0.81427,1.14162,0.47909,0.99294,0.93169,0.92158,0.95273,0.73743,0.94343,0.9337,0.96753,0.62097,0.87607,1.04837,0.47109,1.05462,0.000226267,0.000226267,0.000226267
71,2646.1,0.8118,1.14572,0.47608,0.99423,0.93084,0.91313,0.95187,0.7414,0.93757,0.9112,0.9604,0.61991,0.86431,1.04983,0.47559,1.05165,0.000219198,0.000219198,0.000219198
72,2663.97,0.81816,1.15066,0.47799,0.99436,0.937,0.91873,0.9589,0.75029,0.92264,0.94397,0.9674,0.62811,0.85164,1.03675,0.46385,1.03609,0.000212129,0.000212129,0.000212129
73,2681.82,0.83643,1.15418,0.47986,0.99959,0.94273,0.92158,0.95581,0.74395,0.95004,0.92664,0.96739,0.63483,0.85331,1.04447,0.46634,1.02959,0.000205061,0.000205061,0.000205061
74,2699.75,0.79805,1.11982,0.4661,0.98835,0.94637,0.9197,0.95319,0.73785,0.95431,0.92742,0.96469,0.63172,0.86924,1.04221,0.46706,1.05632,0.000197992,0.000197992,0.000197992
75,2717.72,0.80711,1.11308,0.46522,0.9916,0.94165,0.92471,0.9573,0.74345,0.94762,0.9305,0.96668,0.62384,0.8578,1.05195,0.45861,1.04542,0.000190924,0.000190924,0.000190924
76,2735.56,0.81118,1.16313,0.47086,0.99575,0.94225,0.92471,0.95392,0.74162,0.9488,0.9305,0.96244,0.62283,0.87208,1.04954,0.47208,1.0479,0.000183855,0.000183855,0.000183855
77,2753.29,0.78805,1.10764,0.46853,0.98613,0.94281,0.91506,0.95435,0.74445,0.94766,0.92085,0.96501,0.62859,0.86512,1.04091,0.46829,1.04853,0.000176786,0.000176786,0.000176786
78,2771.2,0.79704,1.12904,0.47085,0.98616,0.94311,0.92857,0.95883,0.75086,0.95095,0.93629,0.96841,0.62861,0.86183,1.04993,0.45287,1.05178,0.000169718,0.000169718,0.000169718
79,2788.93,0.78934,1.11631,0.45547,0.9865,0.94187,0.93436,0.96273,0.75026,0.96174,0.92471,0.96923,0.63143,0.86718,1.05463,0.45144,1.05154,0.000162649,0.000162649,0.000162649
80,2806.83,0.7899,1.12562,0.45867,0.98609,0.9504,0.92479,0.96587,0.74798,0.9504,0.92479,0.96597,0.63179,0.85403,1.04399,0.44807,1.03993,0.000155581,0.000155581,0.000155581
81,2824.6,0.79235,1.12261,0.46171,0.98697,0.94006,0.93862,0.95812,0.73932,0.95408,0.93629,0.96625,0.62438,0.86111,1.06201,0.45386,1.05092,0.000148512,0.000148512,0.000148512
82,2842.45,0.78035,1.11482,0.4572,0.98237,0.95114,0.92085,0.96216,0.753,0.95912,0.92857,0.96961,0.63382,0.85951,1.05365,0.45098,1.04232,0.000141443,0.000141443,0.000141443
83,2860.57,0.78201,1.0927,0.45283,0.98349,0.95308,0.92085,0.9559,0.74381,0.96108,0.92857,0.96508,0.62866,0.85785,1.05329,0.45976,1.04568,0.000134375,0.000134375,0.000134375
