epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0059,2.31588,3.55059,2.31075,0.01773,0.24419,0.0129,0.00528,1.13155,34.8619,1.15358,0.00036,0.00036,0.00036
2,31.7154,1.95344,2.42368,1.83277,0.01271,0.17503,0.00983,0.00417,1.05835,34.6086,1.19121,0.000732682,0.000732682,0.000732682
3,47.8191,1.78218,1.85705,1.77939,0.004,0.05508,0.0031,0.00111,1.20388,39.1936,1.3891,0.00109785,0.00109785,0.00109785
4,61.817,1.721,1.72687,1.76694,0.20309,0.08935,0.05804,0.02087,1.14334,34.3735,1.32062,0.0014555,0.0014555,0.0014555
5,75.4917,1.67457,1.63375,1.72939,0.53846,0.29559,0.30695,0.15137,0.82341,36.3567,0.95799,0.00180563,0.00180563,0.00180563
6,90.9209,1.68838,1.63486,1.75392,0.47176,0.40336,0.37776,0.18117,0.84784,71.6725,0.95178,0.00190111,0.00190111,0.00190111
7,105.298,1.69164,1.60898,1.73819,0.54629,0.43941,0.45199,0.23517,0.82282,62.8359,0.92604,0.00188133,0.00188133,0.00188133
8,116.821,1.62916,1.50868,1.70749,0.58427,0.4339,0.47074,0.24187,0.81735,25.5723,0.91653,0.00186155,0.00186155,0.00186155
9,130.902,1.64451,1.49062,1.711,0.5104,0.47185,0.48101,0.23641,0.86458,61.3531,0.97641,0.00184178,0.00184178,0.00184178
10,148.702,1.58481,1.48023,1.67765,0.52785,0.46022,0.47803,0.27046,0.78815,30.7894,0.92478,0.001822,0.001822,0.001822
11,168.59,1.59032,1.45014,1.68273,0.57124,0.52755,0.53539,0.30618,0.76717,87.1997,0.88657,0.00180222,0.00180222,0.00180222
12,186.746,1.59602,1.42721,1.684,0.64438,0.49014,0.57531,0.32218,0.75949,15.3443,0.88018,0.00178244,0.00178244,0.00178244
13,207.429,1.60553,1.43024,1.68721,0.6209,0.50245,0.54788,0.31113,0.77751,33.6046,0.91065,0.00176266,0.00176266,0.00176266
14,219.131,1.56334,1.40366,1.66989,0.64589,0.5306,0.59539,0.33297,0.76355,14.2951,0.88077,0.00174289,0.00174289,0.00174289
15,234.379,1.55173,1.37812,1.66039,0.58608,0.50734,0.54588,0.28175,0.84877,22.7753,0.93824,0.00172311,0.00172311,0.00172311
16,246.923,1.54945,1.37723,1.65122,0.61637,0.53611,0.57925,0.31486,0.78953,27.3784,0.88277,0.00170333,0.00170333,0.00170333
17,261.478,1.55943,1.36556,1.66029,0.65446,0.48286,0.56396,0.30804,0.78182,2.72713,0.90169,0.00168355,0.00168355,0.00168355
18,275.008,1.52701,1.33899,1.64413,0.66254,0.55814,0.61366,0.34235,0.74717,2.58004,0.87303,0.00166377,0.00166377,0.00166377
