epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5596,1.21427,2.13464,2.52735,1.28513,0.81857,0.64865,0.76578,0.48568,0.82588,0.65444,0.76034,0.39912,1.19281,1.57348,2.31815,1.29627,0.0756044,0.00271062,0.00271062
2,30.1868,1.04626,1.44795,1.22103,1.09124,0.74725,0.74769,0.76359,0.45992,0.74658,0.73552,0.76028,0.3739,1.3272,1.7067,1.40705,1.37323,0.050825,0.00540377,0.00540377
3,43.1286,1.05092,1.40975,1.05961,1.10534,0.60738,0.42278,0.4006,0.21387,0.60984,0.42278,0.39729,0.16343,1.78724,2.71193,2.25368,1.85125,0.0259912,0.00804246,0.00804246
4,56.1383,1.12744,1.50674,1.09084,1.14252,0.7439,0.5888,0.64294,0.35179,0.52313,0.4405,0.3599,0.09842,1.52336,3.16953,1.96913,1.72706,0.00970262,0.00970262,0.00970262
5,69.0011,1.14992,1.4695,1.08309,1.15829,0.57846,0.60232,0.58901,0.3349,0.56664,0.53089,0.49949,0.20224,1.52375,2.32238,1.59912,1.679,0.0096035,0.0096035,0.0096035
6,81.9623,1.1184,1.4179,1.01329,1.14448,0.66129,0.69112,0.68971,0.38325,0.62993,0.65058,0.63541,0.26824,1.47584,2.03471,1.6957,1.62097,0.00950437,0.00950437,0.00950437
7,94.9586,1.07604,1.36466,0.9335,1.12363,0.70013,0.74369,0.73041,0.44361,0.68474,0.73938,0.69104,0.32911,1.27012,1.82115,1.66783,1.39074,0.00940524,0.00940524,0.00940524
8,107.861,1.03424,1.313,0.86618,1.1046,0.78095,0.77083,0.81832,0.53069,0.75975,0.75091,0.7798,0.3945,1.19594,1.65792,1.36904,1.30709,0.00930612,0.00930612,0.00930612
9,120.684,1.00011,1.28446,0.82624,1.08284,0.74496,0.77413,0.77824,0.48198,0.75247,0.77027,0.77483,0.38199,1.27839,1.62426,1.12213,1.35771,0.00920699,0.00920699,0.00920699
10,133.562,0.95933,1.24795,0.77289,1.06432,0.68911,0.66023,0.66865,0.40837,0.67231,0.65353,0.63359,0.29282,1.39347,2.18511,1.41778,1.45795,0.00910787,0.00910787,0.00910787
11,146.375,0.94777,1.25884,0.77141,1.06518,0.8542,0.81436,0.85602,0.56877,0.85904,0.80888,0.86316,0.44323,1.14484,1.76579,0.87798,1.28264,0.00900874,0.00900874,0.00900874
12,159.292,0.9292,1.19125,0.72894,1.05052,0.78609,0.82625,0.85967,0.56906,0.78713,0.82091,0.85129,0.46476,1.17219,1.48289,1.04604,1.27273,0.00890961,0.00890961,0.00890961
13,172.167,0.90677,1.20708,0.70666,1.04546,0.8086,0.78295,0.81585,0.52767,0.81191,0.77497,0.82498,0.42164,1.21316,1.53182,1.0333,1.31494,0.00881049,0.00881049,0.00881049
14,184.978,0.88998,1.17346,0.69424,1.03728,0.81675,0.8417,0.86406,0.5532,0.81899,0.8417,0.85677,0.46041,1.19814,1.43575,0.93136,1.32177,0.00871136,0.00871136,0.00871136
15,197.766,0.88141,1.18369,0.67933,1.03707,0.84658,0.86293,0.87299,0.58527,0.85688,0.87259,0.88296,0.49595,1.13655,1.36347,0.84513,1.247,0.00861224,0.00861224,0.00861224
16,210.672,0.87532,1.1699,0.6514,1.03296,0.83889,0.79413,0.83435,0.56583,0.84395,0.7973,0.84119,0.46602,1.13044,1.35308,0.96366,1.25296,0.00851311,0.00851311,0.00851311
17,223.516,0.8844,1.16129,0.66089,1.03586,0.834,0.8147,0.85888,0.56638,0.84379,0.81853,0.85891,0.44926,1.18993,1.48358,0.816,1.31181,0.00841398,0.00841398,0.00841398
18,236.324,0.83432,1.09326,0.62284,1.01752,0.84376,0.82364,0.87236,0.59257,0.8487,0.83012,0.88531,0.50521,1.11915,1.30831,0.803,1.23324,0.00831486,0.00831486,0.00831486
