                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.97421,                 2.0548,                 1.0033,                 1.2873,                0.74894,                 0.5956,                0.66924,                0.42787,                0.71829,                0.57218,                0.61369,                0.37369,                 1.2368,                 2.5234,                 1.2952,                 1.6756,             0.00055142,             0.00055142,             0.00055142
                     25,                0.98713,                 2.0617,                 1.0239,                 1.2931,                 0.7714,                0.63097,                0.70731,                0.46443,                0.77024,                0.60466,                0.66812,                 0.3955,                 1.1696,                  2.174,                 1.2169,                 1.5729,             0.00054435,             0.00054435,             0.00054435
                     26,                0.97152,                 2.0669,                0.99722,                  1.284,                0.69737,                0.63825,                0.67652,                0.42205,                0.67659,                0.59542,                0.60954,                0.35026,                 1.2111,                 2.4093,                 1.4113,                 1.6005,             0.00053728,             0.00053728,             0.00053728
                     27,                0.96491,                 2.0333,                0.97564,                 1.2706,                0.73651,                0.65473,                0.68882,                0.44727,                0.70548,                0.62988,                0.63659,                0.39032,                 1.1572,                  2.235,                 1.3284,                 1.5696,             0.00053022,             0.00053022,             0.00053022
                     28,                0.95787,                  2.038,                0.96284,                 1.2773,                0.78536,                0.67534,                0.74518,                0.49047,                0.77252,                0.64285,                0.69632,                0.40415,                 1.1258,                 2.2348,                 1.1426,                 1.5188,             0.00052315,             0.00052315,             0.00052315
                     29,                0.93522,                 1.9741,                0.94465,                 1.2547,                0.76536,                0.68305,                0.74402,                0.48651,                0.73927,                0.65782,                0.68244,                0.40928,                 1.1355,                 2.3503,                 1.1344,                 1.5289,             0.00051608,             0.00051608,             0.00051608
                     30,                0.92894,                 1.9788,                0.93495,                 1.2519,                0.73295,                0.67377,                0.70769,                0.45692,                0.70076,                0.64518,                0.64786,                0.38716,                 1.1556,                 2.2874,                 1.2961,                 1.5772,             0.00050901,             0.00050901,             0.00050901
                     31,                0.93485,                 1.9462,                0.91352,                 1.2485,                0.77155,                0.66437,                0.74639,                0.48076,                0.77946,                0.61363,                0.69349,                0.40145,                 1.1001,                 2.2634,                  1.162,                 1.5001,             0.00050194,             0.00050194,             0.00050194
                     32,                0.91555,                 1.9796,                0.89419,                 1.2403,                0.75133,                0.66487,                0.73359,                0.49285,                0.72496,                0.62704,                0.68041,                0.41181,                 1.1545,                 2.4879,                 1.2369,                 1.5668,             0.00049487,             0.00049487,             0.00049487
                     33,                0.91214,                 1.9003,                0.87753,                 1.2356,                0.73094,                0.70269,                0.73994,                0.50379,                0.73196,                0.65152,                0.69792,                0.43386,                 1.1455,                 2.2679,                 1.1632,                   1.52,              0.0004878,              0.0004878,              0.0004878
                     34,                0.90091,                 1.9281,                 0.8759,                 1.2305,                0.78279,                0.68679,                0.74304,                0.50827,                0.75684,                0.66471,                 0.6979,                 0.4315,                 1.0754,                 2.1639,                 1.0746,                 1.4972,             0.00048074,             0.00048074,             0.00048074
                     35,                0.89827,                 1.9031,                0.85715,                 1.2246,                0.79016,                0.65309,                0.72662,                0.50308,                0.75787,                0.62523,                0.68431,                0.43397,                 1.0657,                 2.1863,                  1.123,                 1.4927,             0.00047367,             0.00047367,             0.00047367
                     36,                0.91941,                 1.9495,                0.88148,                 1.2352,                0.78155,                  0.687,                0.76274,                0.50441,                0.75492,                0.65586,                 0.7042,                0.42038,                 1.0965,                 2.3986,                 1.0884,                 1.5227,              0.0004666,              0.0004666,              0.0004666
                     37,                 0.8743,                 1.8572,                0.81868,                 1.2089,                 0.8122,                0.69089,                0.76179,                0.51742,                 0.7942,                0.67402,                0.72985,                0.44076,                 1.1006,                  2.318,                 1.0841,                 1.5228,             0.00045953,             0.00045953,             0.00045953
                     38,                0.90446,                 1.9052,                 0.8431,                 1.2225,                0.79782,                 0.7071,                0.76959,                0.52195,                0.77223,                0.68716,                0.72779,                0.43512,                 1.0453,                 2.2918,                 1.1024,                  1.461,             0.00045246,             0.00045246,             0.00045246
                     39,                0.89863,                 1.8787,                0.81923,                 1.2168,                0.80318,                0.66587,                0.75802,                0.53392,                0.77498,                0.64476,                 0.7148,                0.45633,                 1.0536,                 2.2603,                 1.1096,                 1.4746,             0.00044539,             0.00044539,             0.00044539
                     40,                0.88967,                 1.8576,                0.80457,                 1.1994,                0.75926,                0.69098,                0.74309,                0.51129,                0.73938,                 0.6605,                  0.683,                0.43647,                 1.1195,                 2.3414,                 1.2335,                 1.5429,             0.00043832,             0.00043832,             0.00043832
                     41,                0.85996,                 1.8164,                  0.776,                 1.2004,                0.83844,                0.69613,                0.79802,                0.56486,                0.80396,                0.68033,                0.75946,                0.48401,                0.97546,                 2.0961,                0.99961,                 1.3681,             0.00043126,             0.00043126,             0.00043126
                     42,                0.88106,                 1.8476,                0.79793,                 1.2123,                0.79726,                0.72008,                0.77684,                 0.5424,                0.81978,                0.66568,                0.73952,                 0.4595,                 1.0627,                  2.201,                  1.057,                 1.4881,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.8719,                  1.804,                 0.7743,                  1.203,                0.81237,                0.72164,                0.79449,                0.55879,                0.78079,                0.70505,                0.75425,                0.48216,                 1.0157,                  2.172,                0.98209,                 1.4324,             0.00041712,             0.00041712,             0.00041712
                     44,                0.86129,                 1.8154,                0.76693,                 1.1928,                0.82875,                0.73485,                0.78721,                0.55676,                0.80513,                0.70422,                0.73502,                0.46369,                 1.0068,                 2.2806,                 1.0084,                 1.4383,             0.00041005,             0.00041005,             0.00041005
                     45,                0.84086,                 1.7495,                0.73703,                 1.1775,                0.80812,                0.71465,                0.79225,                 0.5443,                0.78317,                0.69566,                0.74102,                0.46044,                 1.0738,                 2.2473,                 1.0338,                  1.492,             0.00040298,             0.00040298,             0.00040298
                     46,                0.84585,                 1.7924,                0.77357,                 1.1899,                0.80813,                0.73972,                0.79004,                0.56711,                0.79439,                0.72694,                0.76169,                0.48467,                 1.0072,                  2.286,                0.94221,                 1.4118,             0.00039591,             0.00039591,             0.00039591
                     47,                0.85272,                 1.7943,                0.74968,                 1.1857,                0.84023,                0.75365,                0.79458,                0.56252,                0.82345,                0.73316,                0.75339,                0.47581,                 1.0133,                 2.3876,                0.95662,                 1.4622,             0.00038884,             0.00038884,             0.00038884
                     48,                0.86322,                 1.7977,                0.74727,                 1.1832,                0.82413,                0.73889,                0.78863,                0.55483,                0.83279,                0.69007,                0.75584,                0.46693,                 1.0365,                 2.2457,                0.99625,                 1.4473,             0.00038178,             0.00038178,             0.00038178
                     49,                0.83503,                 1.7516,                0.72517,                 1.1805,                0.82066,                0.74588,                0.80965,                0.57367,                0.79348,                0.72239,                0.75304,                 0.4662,                 1.0421,                 2.4459,                 1.0054,                 1.4253,             0.00037471,             0.00037471,             0.00037471
                     50,                0.82943,                  1.756,                 0.7398,                 1.1713,                0.81104,                0.72222,                 0.7706,                0.54186,                 0.7855,                0.69981,                0.72026,                0.44407,                 1.0614,                 2.3571,                 1.1213,                 1.4474,             0.00036764,             0.00036764,             0.00036764
                     51,                0.84455,                 1.7737,                0.72233,                 1.1689,                0.78867,                0.73772,                0.77901,                0.54578,                0.76735,                0.70513,                0.72612,                0.44637,                 1.0756,                 2.4317,                 1.0941,                 1.5111,             0.00036057,             0.00036057,             0.00036057
                     52,                0.81925,                 1.6786,                0.68769,                 1.1544,                0.83147,                0.74712,                0.78892,                 0.5585,                0.83504,                  0.706,                0.74332,                0.46855,                 1.0007,                 2.3154,                0.95423,                 1.4323,              0.0003535,              0.0003535,              0.0003535
                     53,                0.81331,                 1.7003,                0.67874,                 1.1557,                0.81401,                0.77041,                0.80983,                0.57868,                0.82877,                0.72176,                0.77315,                0.48486,                0.97958,                 2.2175,                0.94084,                 1.3906,             0.00034643,             0.00034643,             0.00034643
                     54,                0.80917,                 1.6887,                0.66465,                  1.147,                0.82624,                0.73747,                0.78929,                0.55198,                0.80596,                0.70838,                0.74004,                0.45927,                 1.0445,                 2.4226,                 1.0296,                 1.4669,             0.00033936,             0.00033936,             0.00033936
                     55,                 0.8029,                 1.6866,                 0.6792,                 1.1437,                0.79263,                0.74528,                0.78578,                0.56471,                0.76707,                0.72175,                0.74094,                0.47612,                 1.0288,                 2.3545,                0.99301,                 1.4576,              0.0003323,              0.0003323,              0.0003323
                     56,                0.81291,                 1.6809,                0.68288,                 1.1361,                0.83229,                0.74466,                0.79572,                0.57229,                0.82351,                0.70998,                0.75598,                0.48863,                 0.9709,                 2.3168,                0.93744,                 1.4028,             0.00032523,             0.00032523,             0.00032523
                     57,                0.80566,                 1.6999,                0.66957,                 1.1364,                0.81591,                0.74461,                0.80955,                0.57402,                 0.8128,                0.69429,                0.75905,                0.48735,                 1.0307,                 2.2948,                0.97219,                 1.4205,             0.00031816,             0.00031816,             0.00031816
