fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.19654,0.00137,0.01,0.7,0.00034,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.3311,0.00137,0.01137,0.72755,0.00034,3.0,0.88145,5.84135,0.33214,1.91133,0.01441,0.7,0.37482,0.0,0.08202,0.6228,0.0,0.0,0.0,0.46697,0.0,1.0,0.0,0.0
0.37717,0.00138,0.01137,0.72755,0.00034,2.85034,0.90919,5.84135,0.31597,1.99805,0.01574,0.70849,0.3834,0.0,0.07933,0.6228,0.0,0.0,0.0,0.49073,0.0,1.0,0.0,0.0
0.35062,0.0011,0.01215,0.72321,0.00033,2.99663,0.88145,5.84135,0.33214,1.72232,0.01425,0.6613,0.37935,0.0,0.08647,0.55594,0.0,0.0,0.0,0.46697,0.0,0.97132,0.0,0.0
0.79339,0.00129,0.01214,0.7474,0.00034,3.10334,0.85904,7.05241,0.31597,2.57946,0.02039,0.75274,0.48722,0.0,0.07852,0.6228,0.0,0.0,0.0,0.49073,0.0,0.91593,0.0,0.0
