epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5358,1.23212,1.93511,1.54976,1.30854,0.6468,0.55985,0.58216,0.37588,0.65144,0.56564,0.59869,0.3233,1.21102,1.51461,1.31954,1.31266,0.0702,0.00331111,0.00331111
2,45.4207,1.001,1.39369,0.76787,1.09236,0.534,0.47876,0.48268,0.30398,0.53921,0.48344,0.49096,0.21352,1.47434,2.14951,1.40137,1.54098,0.0401342,0.00657866,0.00657866
3,66.4192,1.01925,1.39539,0.802,1.11119,0.38863,0.39189,0.34884,0.20879,0.33732,0.31853,0.25651,0.1012,1.55388,2.498,1.8372,1.67088,0.0100024,0.00978022,0.00978022
