epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8894,2.59753,3.52497,1.1933,0.01267,0.17442,0.00761,0.00376,1.02385,34.4988,0.49595,0.00036,0.00036,0.00036
2,30.835,2.10825,2.40766,0.93897,0.02018,0.27785,0.1533,0.06821,0.98069,34.3025,0.5005,0.000732683,0.000732683,0.000732683
3,45.9471,1.9556,1.84252,0.90161,0.01071,0.14749,0.04037,0.01287,1.37904,33.8055,0.71012,0.00109785,0.00109785,0.00109785
4,59.5657,1.88362,1.7014,0.90212,0.43681,0.13403,0.14961,0.06894,1.04384,37.1256,0.54082,0.0014555,0.0014555,0.0014555
5,71.872,1.85004,1.63777,0.88828,0.50695,0.37566,0.39255,0.20396,0.88673,59.385,0.47305,0.00180564,0.00180564,0.00180564
6,84.9594,1.83877,1.5879,0.88519,0.53517,0.39351,0.41492,0.2079,0.93239,87.6799,0.48639,0.00190111,0.00190111,0.00190111
7,97.107,1.81652,1.59175,0.89319,0.47148,0.44058,0.42289,0.22291,0.90941,89.1338,0.49498,0.00188134,0.00188134,0.00188134
8,116.352,1.82391,1.52901,0.88909,0.56752,0.44859,0.48404,0.2489,0.9347,35.4831,0.49398,0.00186156,0.00186156,0.00186156
9,127.591,1.78131,1.48252,0.87867,0.60399,0.5049,0.54992,0.3024,0.84176,75.905,0.45744,0.00184178,0.00184178,0.00184178
10,148.122,1.77591,1.43616,0.86632,0.57194,0.48286,0.52059,0.27751,0.91436,74.8592,0.47221,0.00182201,0.00182201,0.00182201
11,159.763,1.77621,1.42463,0.86309,0.61343,0.50061,0.55898,0.31051,0.85706,17.1648,0.44995,0.00180223,0.00180223,0.00180223
12,171.033,1.75696,1.41775,0.86375,0.60292,0.52039,0.56471,0.32147,0.82781,3.98468,0.4399,0.00178245,0.00178245,0.00178245
13,182.609,1.74889,1.38332,0.8595,0.65185,0.51897,0.58092,0.3187,0.88468,11.8582,0.46639,0.00176268,0.00176268,0.00176268
14,197.111,1.77812,1.38656,0.85905,0.6395,0.52815,0.58401,0.32207,0.83998,22.8383,0.45072,0.0017429,0.0017429,0.0017429
15,208.762,1.71213,1.33912,0.84631,0.62317,0.52876,0.58659,0.33487,0.84744,3.54814,0.45739,0.00172312,0.00172312,0.00172312
16,221.402,1.65029,1.31179,0.84164,0.66548,0.50245,0.5833,0.32898,0.84876,21.4298,0.44979,0.00170334,0.00170334,0.00170334
17,232.413,1.70778,1.34884,0.83842,0.6652,0.5153,0.59004,0.32891,0.83934,5.72417,0.45512,0.00168357,0.00168357,0.00168357
18,244.548,1.69633,1.33627,0.84618,0.64265,0.55386,0.5991,0.3396,0.80888,41.1907,0.43871,0.00166379,0.00166379,0.00166379
19,253.923,1.69841,1.36887,0.84688,0.59988,0.48837,0.53438,0.27126,0.9247,20.488,0.47386,0.00164401,0.00164401,0.00164401
20,265.893,1.66555,1.31289,0.83402,0.66617,0.55569,0.6152,0.34473,0.80968,4.53593,0.43563,0.00162424,0.00162424,0.00162424
21,278.778,1.64648,1.28358,0.82732,0.67559,0.53145,0.60274,0.33561,0.84205,2.76475,0.44094,0.00160446,0.00160446,0.00160446
22,295.416,1.66464,1.27607,0.83889,0.64521,0.54089,0.60342,0.34485,0.83428,4.27221,0.44533,0.00158468,0.00158468,0.00158468
23,309.807,1.67651,1.2628,0.83501,0.65916,0.56732,0.62562,0.35573,0.83593,21.2726,0.44772,0.00156491,0.00156491,0.00156491
24,321.576,1.63772,1.25969,0.8292,0.64403,0.57834,0.62276,0.37425,0.78003,9.03848,0.42974,0.00154513,0.00154513,0.00154513
25,335.99,1.61212,1.23273,0.82119,0.66883,0.55866,0.63143,0.36777,0.82074,4.27066,0.44313,0.00152535,0.00152535,0.00152535
26,347.92,1.64135,1.2592,0.82615,0.67922,0.53978,0.6231,0.37686,0.78293,1.04971,0.42968,0.00150557,0.00150557,0.00150557
27,361.672,1.62875,1.22829,0.82477,0.68569,0.56304,0.63051,0.34686,0.87108,18.9988,0.45061,0.0014858,0.0014858,0.0014858
28,373.784,1.62836,1.24222,0.81686,0.69779,0.54828,0.63269,0.37202,0.79669,16.9292,0.43587,0.00146602,0.00146602,0.00146602
29,384.516,1.59253,1.21774,0.81199,0.69348,0.58201,0.66135,0.39076,0.79898,2.98944,0.4351,0.00144624,0.00144624,0.00144624
30,396.333,1.5791,1.21172,0.80585,0.65746,0.55814,0.6256,0.3541,0.84078,20.3294,0.44758,0.00142647,0.00142647,0.00142647
