epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0955,2.49964,3.58224,1.6367,0.00538,0.07405,0.00338,0.00105,1.48571,34.8724,0.93478,0.00036,0.00036,0.00036
2,34.1408,2.13779,2.48806,1.29342,0.02733,0.37638,0.13807,0.05804,0.91438,33.9415,0.63598,0.000732674,0.000732674,0.000732674
3,55.0751,1.99126,1.93354,1.26598,0.19534,0.13579,0.06109,0.02425,1.15661,36.7461,0.87417,0.00109783,0.00109783,0.00109783
4,69.4801,1.88657,1.80247,1.24223,0.47241,0.28335,0.28897,0.14065,0.90716,51.1906,0.69808,0.00145545,0.00145545,0.00145545
5,88.5257,1.87245,1.71647,1.22481,0.60241,0.2399,0.30162,0.1421,0.96494,21.0829,0.73177,0.00180556,0.00180556,0.00180556
6,103.621,1.88698,1.70219,1.24004,0.44687,0.3978,0.35083,0.16247,0.95253,174.092,0.69054,0.001901,0.001901,0.001901
7,116.143,1.84416,1.64601,1.22057,0.44418,0.3776,0.36295,0.17355,0.92835,139.43,0.71079,0.00188121,0.00188121,0.00188121
8,130.58,1.7907,1.57622,1.22065,0.54815,0.43696,0.46727,0.24071,0.849,75.1924,0.64099,0.00186141,0.00186141,0.00186141
9,145.369,1.77668,1.54437,1.20276,0.56154,0.41799,0.45996,0.24715,0.86564,57.1488,0.64181,0.00184161,0.00184161,0.00184161
10,163.732,1.75916,1.49979,1.18289,0.51725,0.41371,0.42952,0.23187,0.87879,129.453,0.64209,0.00182181,0.00182181,0.00182181
11,177.88,1.73684,1.49204,1.18229,0.56499,0.50061,0.52435,0.28664,0.83641,34.0799,0.63333,0.00180201,0.00180201,0.00180201
12,194.78,1.77032,1.49588,1.18956,0.55927,0.44553,0.4669,0.22279,0.94487,17.2975,0.68901,0.00178221,0.00178221,0.00178221
13,213.068,1.75328,1.49971,1.18866,0.64223,0.52326,0.5831,0.32405,0.80967,21.5981,0.62808,0.00176241,0.00176241,0.00176241
14,226.492,1.71874,1.45248,1.16704,0.67515,0.50495,0.59097,0.33349,0.78107,9.1103,0.61506,0.00174261,0.00174261,0.00174261
15,239.031,1.72962,1.41389,1.1676,0.65338,0.48837,0.55679,0.30011,0.81675,5.86025,0.62237,0.00172281,0.00172281,0.00172281
16,251.113,1.71315,1.40211,1.16856,0.56275,0.51897,0.55586,0.30773,0.80226,10.3886,0.60735,0.00170301,0.00170301,0.00170301
17,265.931,1.66683,1.39876,1.16822,0.65192,0.53794,0.59219,0.33514,0.8013,17.3056,0.61406,0.00168322,0.00168322,0.00168322
18,280.656,1.66947,1.37811,1.16216,0.65066,0.52509,0.59855,0.34827,0.77884,11.3343,0.60676,0.00166342,0.00166342,0.00166342
19,294.62,1.68838,1.362,1.14369,0.67148,0.52203,0.60607,0.35114,0.77194,1.74132,0.60474,0.00164362,0.00164362,0.00164362
20,308.807,1.6937,1.409,1.16575,0.70407,0.49069,0.58876,0.32976,0.78738,1.3473,0.60738,0.00162382,0.00162382,0.00162382
21,323.254,1.68499,1.36426,1.15583,0.6424,0.55079,0.60664,0.33935,0.80219,4.67349,0.61231,0.00160402,0.00160402,0.00160402
22,340.42,1.6421,1.34187,1.14351,0.64932,0.58323,0.62737,0.36217,0.77056,12.5613,0.60691,0.00158422,0.00158422,0.00158422
23,354.461,1.657,1.32088,1.13959,0.66475,0.56548,0.6249,0.35202,0.80416,7.41809,0.6228,0.00156442,0.00156442,0.00156442
24,367.124,1.63008,1.33478,1.14278,0.71787,0.51775,0.63061,0.35864,0.77173,5.39588,0.61079,0.00154462,0.00154462,0.00154462
25,390.306,1.61623,1.28463,1.12905,0.64199,0.5661,0.61294,0.34862,0.81549,17.9855,0.62387,0.00152482,0.00152482,0.00152482
26,407.732,1.61696,1.3205,1.14017,0.61799,0.53672,0.5826,0.33254,0.78071,3.62709,0.60072,0.00150503,0.00150503,0.00150503
27,428.516,1.62664,1.28335,1.12861,0.6461,0.55754,0.60636,0.34233,0.79754,64.0001,0.60741,0.00148523,0.00148523,0.00148523
28,448.639,1.63072,1.31712,1.12975,0.63336,0.51775,0.57686,0.33042,0.81646,27.8134,0.62286,0.00146543,0.00146543,0.00146543
29,462.443,1.61729,1.28447,1.13508,0.64739,0.52923,0.60145,0.34873,0.78078,8.7344,0.60579,0.00144563,0.00144563,0.00144563
30,478.702,1.61071,1.28807,1.11841,0.72329,0.53917,0.64848,0.38442,0.74695,4.21805,0.59308,0.00142583,0.00142583,0.00142583
