epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95625,1.04994,2.41222,1.3322,1.13718,0.72434,0.58042,0.66082,0.50109,0.68676,0.54506,0.60878,0.40314,1.07042,2.40233,1.02267,1.10563,8.33e-06,8.33e-06,8.33e-06
2,17.8215,1.04274,2.47534,1.27853,1.13971,0.70009,0.61247,0.67148,0.51011,0.70428,0.55475,0.6223,0.41977,1.06606,2.35503,0.98434,1.10008,1.76733e-05,1.76733e-05,1.76733e-05
3,25.7394,1.13612,2.53023,1.34429,1.15692,0.67078,0.62084,0.67976,0.51421,0.68793,0.58785,0.64335,0.42364,1.0561,2.33789,0.9699,1.09414,2.68281e-05,2.68281e-05,2.68281e-05
4,33.6795,1.0781,2.50736,1.24625,1.13003,0.71707,0.6092,0.69107,0.52807,0.70463,0.59623,0.6585,0.43432,1.04513,2.30953,0.95431,1.08711,3.57944e-05,3.57944e-05,3.57944e-05
