epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3055,2.60181,3.67654,1.52977,0.01098,0.15116,0.00652,0.0026,1.30681,36.0777,0.7183,0.00036,0.00036,0.00036
2,32.0991,2.2001,2.50403,1.2037,0.02049,0.28213,0.02753,0.01162,1.04952,35.7942,0.69652,0.000732676,0.000732676,0.000732676
3,46.9064,2.02504,1.96012,1.1756,0.33944,0.06487,0.06958,0.0242,1.13151,42.8002,0.80209,0.00109783,0.00109783,0.00109783
4,60.3672,1.92971,1.81705,1.15031,0.62579,0.34884,0.41313,0.19616,0.93301,29.4483,0.63334,0.00145546,0.00145546,0.00145546
5,74.0831,1.92504,1.74986,1.15824,0.43245,0.23455,0.23968,0.10963,1.02239,37.7145,0.71772,0.00180557,0.00180557,0.00180557
6,88.1198,1.91615,1.72875,1.15558,0.48867,0.38372,0.3882,0.18144,0.96613,20.3968,0.64927,0.00190103,0.00190103,0.00190103
7,103.549,1.93571,1.67417,1.15,0.45858,0.39412,0.37136,0.16929,0.97743,90.1373,0.65137,0.00188124,0.00188124,0.00188124
8,116.885,1.8228,1.60954,1.137,0.57577,0.48341,0.50354,0.25914,0.87225,95.9984,0.59537,0.00186144,0.00186144,0.00186144
9,133.404,1.84722,1.55329,1.12462,0.59315,0.50734,0.53678,0.2868,0.8853,135.371,0.63386,0.00184165,0.00184165,0.00184165
10,151.805,1.7888,1.53924,1.11973,0.60774,0.50633,0.55407,0.30035,0.86563,96.3454,0.60404,0.00182185,0.00182185,0.00182185
11,165.139,1.81051,1.51168,1.11259,0.5656,0.47797,0.50595,0.26108,0.92656,74.243,0.62714,0.00180206,0.00180206,0.00180206
12,180.141,1.80005,1.51999,1.10775,0.63684,0.45471,0.53166,0.29682,0.85641,10.5698,0.6055,0.00178227,0.00178227,0.00178227
13,193.848,1.795,1.48168,1.11477,0.59229,0.50184,0.5393,0.29729,0.86571,39.2526,0.6008,0.00176247,0.00176247,0.00176247
14,206.366,1.7778,1.46806,1.10285,0.66979,0.51775,0.59345,0.33306,0.81928,30.8642,0.56885,0.00174268,0.00174268,0.00174268
15,223.28,1.7574,1.43692,1.09529,0.61719,0.50322,0.5496,0.2912,0.88991,18.7874,0.59742,0.00172288,0.00172288,0.00172288
16,245.199,1.78474,1.46734,1.09794,0.60822,0.54915,0.59199,0.33866,0.79645,13.5855,0.56779,0.00170309,0.00170309,0.00170309
17,261.785,1.72288,1.41212,1.09056,0.66011,0.51585,0.60261,0.33704,0.82299,10.9765,0.58382,0.0016833,0.0016833,0.0016833
18,273.532,1.70251,1.40846,1.08136,0.64551,0.55508,0.60991,0.35107,0.8028,7.36751,0.5678,0.0016635,0.0016635,0.0016635
19,299.237,1.75207,1.42896,1.08688,0.64808,0.54039,0.60169,0.34217,0.81578,44.5716,0.5811,0.00164371,0.00164371,0.00164371
20,312.4,1.73976,1.41014,1.08749,0.66463,0.53244,0.59882,0.32822,0.84155,14.2419,0.57022,0.00162391,0.00162391,0.00162391
21,329.16,1.73897,1.39094,1.07289,0.63774,0.53653,0.58583,0.33065,0.82318,8.21116,0.56707,0.00160412,0.00160412,0.00160412
22,346.738,1.69985,1.36417,1.07211,0.65052,0.55263,0.62013,0.36441,0.79733,6.03603,0.56256,0.00158433,0.00158433,0.00158433
23,360.634,1.70463,1.37309,1.06987,0.66158,0.50122,0.59178,0.34665,0.80623,2.31289,0.56406,0.00156453,0.00156453,0.00156453
24,373.612,1.70146,1.34333,1.07588,0.66809,0.54345,0.62128,0.35709,0.81009,4.90461,0.56497,0.00154474,0.00154474,0.00154474
25,390.409,1.64047,1.31051,1.05503,0.66802,0.56548,0.63195,0.35504,0.83528,19.336,0.5815,0.00152494,0.00152494,0.00152494
26,404.61,1.66076,1.33519,1.05785,0.68588,0.53182,0.6159,0.34796,0.82492,2.05082,0.57287,0.00150515,0.00150515,0.00150515
27,423.666,1.69702,1.32498,1.0695,0.6931,0.56487,0.64224,0.37383,0.78581,4.53221,0.55375,0.00148536,0.00148536,0.00148536
28,438.799,1.66204,1.32654,1.05456,0.66402,0.55141,0.61831,0.36312,0.798,5.65895,0.5618,0.00146556,0.00146556,0.00146556
29,456.414,1.63585,1.28855,1.05424,0.65752,0.544,0.61169,0.3501,0.80698,12.8485,0.5703,0.00144577,0.00144577,0.00144577
30,468.309,1.63349,1.27814,1.042,0.654,0.55998,0.62699,0.36494,0.80347,4.27948,0.56451,0.00142597,0.00142597,0.00142597
31,482.865,1.64175,1.27794,1.04405,0.67705,0.56426,0.63674,0.37377,0.79982,2.50848,0.56599,0.00140618,0.00140618,0.00140618
32,496.997,1.62989,1.28493,1.04699,0.70463,0.54284,0.63251,0.36208,0.81812,3.81758,0.57706,0.00138639,0.00138639,0.00138639
33,509.01,1.60771,1.25905,1.04409,0.69439,0.52815,0.6151,0.35844,0.79862,5.92569,0.56603,0.00136659,0.00136659,0.00136659
34,521.564,1.58565,1.23837,1.04006,0.65528,0.59097,0.64985,0.37891,0.77513,7.11235,0.55359,0.0013468,0.0013468,0.0013468
35,539.649,1.62053,1.25895,1.0431,0.69481,0.5765,0.65228,0.37092,0.81866,3.40184,0.57178,0.001327,0.001327,0.001327
36,552.992,1.64385,1.27392,1.05044,0.69125,0.54651,0.63487,0.37082,0.79293,7.49392,0.5635,0.00130721,0.00130721,0.00130721
37,570.062,1.61799,1.25055,1.03517,0.67674,0.56671,0.64018,0.3841,0.76184,5.8944,0.54588,0.00128742,0.00128742,0.00128742
38,590.639,1.60808,1.23089,1.04618,0.67598,0.56304,0.63896,0.37588,0.77426,10.1557,0.55124,0.00126762,0.00126762,0.00126762
39,603.874,1.58475,1.22701,1.02871,0.74818,0.53275,0.64753,0.38357,0.77018,7.32208,0.55318,0.00124783,0.00124783,0.00124783
40,621.913,1.57523,1.20369,1.02841,0.6649,0.59257,0.64852,0.38594,0.77443,1.53359,0.5522,0.00122803,0.00122803,0.00122803
41,638.44,1.57991,1.21278,1.02778,0.67271,0.59364,0.65782,0.39815,0.76749,5.27,0.54355,0.00120824,0.00120824,0.00120824
42,653.595,1.59499,1.21478,1.02794,0.7002,0.5789,0.65808,0.38936,0.77105,24.5053,0.55202,0.00118845,0.00118845,0.00118845
43,670.608,1.55101,1.17428,1.01595,0.67317,0.57481,0.64396,0.3845,0.78166,42.6243,0.55653,0.00116865,0.00116865,0.00116865
44,684.357,1.61342,1.21093,1.0252,0.7096,0.59731,0.67213,0.39665,0.77574,4.04298,0.55656,0.00114886,0.00114886,0.00114886
45,697.344,1.57404,1.17576,1.02371,0.67051,0.5918,0.65206,0.3837,0.78632,0.69968,0.55531,0.00112906,0.00112906,0.00112906
46,720.599,1.56202,1.16788,1.01777,0.7002,0.58384,0.66397,0.3955,0.76497,0.90321,0.54626,0.00110927,0.00110927,0.00110927
47,732.525,1.54996,1.18122,1.01771,0.67711,0.58395,0.65021,0.37168,0.81696,2.71021,0.57462,0.00108948,0.00108948,0.00108948
48,744.917,1.55958,1.18413,1.02377,0.69024,0.58641,0.65806,0.37809,0.80431,6.7092,0.56285,0.00106968,0.00106968,0.00106968
49,761.29,1.53846,1.16104,1.01402,0.66017,0.60343,0.65893,0.39298,0.75666,7.6115,0.54517,0.00104989,0.00104989,0.00104989
50,773.272,1.5431,1.16088,1.01214,0.68096,0.59608,0.66449,0.39332,0.76946,2.41232,0.55387,0.00103009,0.00103009,0.00103009
51,787.258,1.55737,1.16013,1.00962,0.67273,0.57405,0.64256,0.37196,0.78946,1.12964,0.56546,0.0010103,0.0010103,0.0010103
52,799.33,1.53655,1.15602,1.01362,0.74425,0.56793,0.67336,0.40088,0.7755,5.99788,0.55084,0.000990506,0.000990506,0.000990506
53,811.811,1.57535,1.17038,1.00873,0.66522,0.59853,0.66182,0.39901,0.75769,10.2279,0.54818,0.000970712,0.000970712,0.000970712
54,824.856,1.55072,1.19165,1.02121,0.69489,0.52815,0.61933,0.35101,0.82104,2.54658,0.56952,0.000950918,0.000950918,0.000950918
55,839.673,1.55931,1.17249,1.01971,0.69715,0.55998,0.64438,0.37418,0.80601,3.66529,0.56534,0.000931124,0.000931124,0.000931124
56,854.094,1.50953,1.14767,1.0117,0.67783,0.60159,0.66021,0.38784,0.78067,4.02294,0.55815,0.00091133,0.00091133,0.00091133
57,869.614,1.52726,1.11907,1.01337,0.67963,0.59058,0.66428,0.40001,0.75747,2.3447,0.54254,0.000891536,0.000891536,0.000891536
58,881.009,1.51098,1.11742,0.99577,0.69207,0.63822,0.69743,0.41942,0.75902,5.14907,0.54381,0.000871742,0.000871742,0.000871742
59,902.628,1.53036,1.10834,0.99983,0.67946,0.6188,0.68336,0.4125,0.74244,5.01179,0.54372,0.000851948,0.000851948,0.000851948
60,919.056,1.49673,1.10291,0.99913,0.69192,0.59364,0.67906,0.41212,0.75391,0.82628,0.54892,0.000832154,0.000832154,0.000832154
61,934.214,1.47648,1.09932,0.99536,0.72436,0.58382,0.67998,0.40997,0.75856,0.70484,0.54825,0.00081236,0.00081236,0.00081236
62,945.97,1.4659,1.07282,0.98844,0.70664,0.59425,0.67048,0.39879,0.76897,0.86735,0.54733,0.000792566,0.000792566,0.000792566
63,961.164,1.47752,1.07851,0.98629,0.69507,0.62179,0.68198,0.41687,0.75334,1.93767,0.54648,0.000772772,0.000772772,0.000772772
