epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,628.044,0.92068,1.2236,0.58067,1.05825,0.86935,0.90154,0.92212,0.66653,0.87318,0.89961,0.92489,0.55162,0.99463,1.1671,0.6179,1.15339,0.000509011,0.000509011,0.000509011
31,648.803,0.94099,1.24852,0.59889,1.07254,0.90775,0.89287,0.94044,0.69552,0.91157,0.89382,0.94617,0.58757,0.92007,1.09553,0.56537,1.09888,0.000501942,0.000501942,0.000501942
32,669.57,0.93357,1.27289,0.59379,1.05346,0.9,0.90541,0.94283,0.70476,0.89617,0.90154,0.93721,0.58067,0.93428,1.1397,0.55994,1.10798,0.000494873,0.000494873,0.000494873
33,690.064,0.92839,1.2327,0.57439,1.06173,0.91215,0.88197,0.93376,0.68506,0.91439,0.88669,0.94104,0.55911,0.98923,1.19416,0.54345,1.12956,0.000487805,0.000487805,0.000487805
34,710.882,0.90585,1.19151,0.56761,1.05545,0.91471,0.89189,0.93674,0.69869,0.91471,0.89189,0.93369,0.58657,0.95157,1.11252,0.563,1.11895,0.000480736,0.000480736,0.000480736
35,731.578,0.91107,1.22816,0.58068,1.0492,0.90658,0.89919,0.94865,0.71465,0.91427,0.90589,0.95777,0.60776,0.91313,1.10443,0.5353,1.09219,0.000473668,0.000473668,0.000473668
36,752.71,0.917,1.21588,0.58151,1.05204,0.92191,0.89575,0.94512,0.71009,0.92534,0.89961,0.9459,0.59097,0.93369,1.12912,0.55323,1.10616,0.000466599,0.000466599,0.000466599
37,773.449,0.89635,1.18552,0.56427,1.04179,0.88446,0.91626,0.94668,0.71628,0.88633,0.91819,0.9497,0.60213,0.89402,1.10558,0.55146,1.08127,0.00045953,0.00045953,0.00045953
38,794.144,0.90473,1.21695,0.56022,1.05809,0.91112,0.88031,0.9398,0.71673,0.92532,0.88031,0.94277,0.58601,0.89018,1.11171,0.54387,1.08802,0.000452462,0.000452462,0.000452462
39,814.765,0.89068,1.18966,0.56431,1.04466,0.90471,0.91699,0.94625,0.71621,0.92043,0.89768,0.94166,0.58648,0.90069,1.10849,0.53455,1.08972,0.000445393,0.000445393,0.000445393
