epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.718,2.95361,3.92774,1.56588,0.01693,0.23317,0.01508,0.00386,1.502,38.5081,0.70723,0.00036,0.00036,0.00036
2,34.8286,2.49995,2.70361,1.22524,0.02591,0.35679,0.13926,0.06159,1.13369,38.3908,0.62441,0.000732691,0.000732691,0.000732691
3,50.3948,2.29781,2.11814,1.19758,0.50331,0.13271,0.18226,0.07128,1.13067,44.8067,0.69771,0.00109787,0.00109787,0.00109787
4,63.7299,2.20355,1.955,1.19321,0.43415,0.33292,0.32245,0.14258,1.06158,63.3934,0.65351,0.00145555,0.00145555,0.00145555
5,78.1343,2.18899,1.86954,1.18155,0.33577,0.20624,0.17761,0.06947,1.26517,37.2062,0.76866,0.00180572,0.00180572,0.00180572
6,92.0909,2.16966,1.88421,1.18888,0.37674,0.25643,0.23176,0.09839,1.34977,34.061,0.79316,0.00190123,0.00190123,0.00190123
7,107.234,2.11246,1.77409,1.16445,0.44833,0.43574,0.39073,0.20326,1.06969,33.0413,0.63764,0.00188147,0.00188147,0.00188147
8,120.791,2.10109,1.70256,1.16733,0.60798,0.4423,0.49275,0.24458,1.08495,17.0729,0.63779,0.00186172,0.00186172,0.00186172
9,134.48,2.06844,1.65195,1.15047,0.50911,0.47285,0.46717,0.23671,1.15827,120.807,0.68818,0.00184196,0.00184196,0.00184196
10,147.529,2.03038,1.64893,1.13442,0.60482,0.46551,0.51137,0.26827,1.05191,95.1531,0.61474,0.00182221,0.00182221,0.00182221
11,160.457,1.99245,1.59376,1.1245,0.56201,0.48164,0.51319,0.26331,1.08192,100.766,0.6185,0.00180245,0.00180245,0.00180245
12,174.054,2.04072,1.59882,1.13628,0.57183,0.48164,0.50982,0.26191,1.04574,49.959,0.61448,0.0017827,0.0017827,0.0017827
13,189.815,2.06806,1.61355,1.1486,0.54909,0.45961,0.47933,0.26883,1.01363,59.2934,0.60089,0.00176294,0.00176294,0.00176294
14,202.472,2.04552,1.58237,1.14034,0.68045,0.5049,0.59176,0.32804,0.9727,14.9781,0.58923,0.00174319,0.00174319,0.00174319
15,215.479,1.99592,1.49805,1.12378,0.63564,0.48103,0.55114,0.30421,1.02123,42.3311,0.60926,0.00172344,0.00172344,0.00172344
16,230.446,1.98133,1.5364,1.12334,0.62118,0.5306,0.57634,0.32794,0.97474,71.0991,0.59043,0.00170368,0.00170368,0.00170368
17,242.097,1.95044,1.4864,1.11064,0.63195,0.54223,0.59314,0.3376,0.95114,41.5575,0.58548,0.00168393,0.00168393,0.00168393
18,254.771,1.9263,1.47522,1.10579,0.67351,0.53404,0.61306,0.34583,0.96907,8.4238,0.57755,0.00166417,0.00166417,0.00166417
19,266.174,1.96966,1.44067,1.10132,0.67436,0.52938,0.60397,0.35615,0.9349,20.6664,0.57741,0.00164442,0.00164442,0.00164442
20,279.952,1.92604,1.46593,1.09472,0.6699,0.54468,0.61875,0.33676,0.99808,20.3471,0.59995,0.00162466,0.00162466,0.00162466
21,293.233,1.93714,1.4401,1.09862,0.70515,0.53488,0.60842,0.34472,0.94935,11.7681,0.57808,0.00160491,0.00160491,0.00160491
22,306.911,1.90292,1.43578,1.09271,0.65244,0.52448,0.58763,0.32828,0.98084,53.4,0.59185,0.00158515,0.00158515,0.00158515
23,320.122,1.89305,1.43949,1.08145,0.6452,0.54468,0.60503,0.34331,0.95078,24.3302,0.576,0.0015654,0.0015654,0.0015654
24,336.638,1.89239,1.43203,1.08422,0.67719,0.54896,0.62882,0.36322,0.93312,31.4214,0.57482,0.00154564,0.00154564,0.00154564
25,348.337,1.85675,1.37628,1.07135,0.68763,0.58201,0.64501,0.37715,0.94506,20.9897,0.58394,0.00152589,0.00152589,0.00152589
26,359.913,1.8522,1.40093,1.08172,0.6383,0.53427,0.58911,0.31783,1.03001,2.22842,0.60646,0.00150614,0.00150614,0.00150614
27,373.603,1.86175,1.34227,1.07504,0.65989,0.55202,0.62383,0.34481,0.98849,3.83317,0.58602,0.00148638,0.00148638,0.00148638
28,386.326,1.8479,1.36588,1.07576,0.68579,0.51408,0.60507,0.3364,0.98626,12.1544,0.59603,0.00146663,0.00146663,0.00146663
29,395.672,1.84782,1.3459,1.07442,0.67173,0.52974,0.60383,0.3397,0.95579,15.4138,0.5834,0.00144687,0.00144687,0.00144687
30,409.503,1.82451,1.33331,1.06552,0.6955,0.54655,0.62479,0.35903,0.9766,5.22082,0.58891,0.00142712,0.00142712,0.00142712
31,425.262,1.84266,1.32116,1.06298,0.64338,0.54468,0.61703,0.37004,0.92637,6.87631,0.57586,0.00140736,0.00140736,0.00140736
32,442.75,1.83902,1.33137,1.06583,0.61626,0.55936,0.60125,0.36114,0.91292,20.0284,0.56765,0.00138761,0.00138761,0.00138761
33,455.868,1.81288,1.32273,1.05916,0.71155,0.57895,0.65505,0.37719,0.93246,12.152,0.57366,0.00136785,0.00136785,0.00136785
34,467.978,1.81378,1.29121,1.05953,0.69353,0.58996,0.65173,0.37778,0.92441,14.0567,0.57312,0.0013481,0.0013481,0.0013481
35,480.332,1.77763,1.30888,1.05932,0.71556,0.56501,0.65294,0.37976,0.91562,3.71204,0.5701,0.00132834,0.00132834,0.00132834
36,496.999,1.81654,1.30635,1.06216,0.66038,0.54026,0.60515,0.32536,1.01298,12.3084,0.59896,0.00130859,0.00130859,0.00130859
37,509.507,1.78705,1.28008,1.04835,0.66235,0.57099,0.63165,0.36804,0.94195,9.14018,0.57716,0.00128883,0.00128883,0.00128883
38,521.786,1.77967,1.25453,1.05613,0.65738,0.55307,0.61453,0.34914,0.97609,3.73817,0.58456,0.00126908,0.00126908,0.00126908
39,531.321,1.78825,1.28152,1.04941,0.68135,0.58886,0.66264,0.393,0.90962,1.8887,0.56005,0.00124933,0.00124933,0.00124933
40,544.786,1.76324,1.23883,1.03968,0.68495,0.53244,0.61723,0.37004,0.9205,17.0074,0.56318,0.00122957,0.00122957,0.00122957
41,558.927,1.77604,1.25752,1.0478,0.6866,0.55386,0.64028,0.38592,0.90704,35.2249,0.56558,0.00120982,0.00120982,0.00120982
42,570.453,1.77451,1.25918,1.04697,0.67454,0.5612,0.62269,0.36323,0.92927,11.3476,0.57437,0.00119006,0.00119006,0.00119006
43,584.266,1.7416,1.2204,1.0379,0.68561,0.54284,0.62282,0.36665,0.92695,3.50159,0.57277,0.00117031,0.00117031,0.00117031
44,604.879,1.78662,1.23278,1.04755,0.71875,0.58446,0.66648,0.39824,0.89271,4.05635,0.56479,0.00115055,0.00115055,0.00115055
45,623.2,1.74934,1.21349,1.03578,0.69696,0.5799,0.65728,0.38917,0.92442,3.1558,0.56928,0.0011308,0.0011308,0.0011308
46,637.927,1.74102,1.20633,1.03812,0.67728,0.60751,0.66831,0.40057,0.89559,3.41727,0.56145,0.00111104,0.00111104,0.00111104
47,651.819,1.71637,1.19609,1.02352,0.67346,0.57936,0.64567,0.39215,0.89486,3.44583,0.55906,0.00109129,0.00109129,0.00109129
48,664.125,1.73955,1.20972,1.03129,0.69701,0.59058,0.65808,0.39289,0.91045,3.00465,0.56389,0.00107153,0.00107153,0.00107153
49,676.722,1.71194,1.18798,1.02001,0.65412,0.55508,0.63077,0.37786,0.89657,2.6173,0.56784,0.00105178,0.00105178,0.00105178
50,688.533,1.73445,1.18983,1.03033,0.69397,0.59976,0.67108,0.39915,0.89966,2.99024,0.56213,0.00103202,0.00103202,0.00103202
51,702.11,1.70455,1.17557,1.01767,0.69117,0.56059,0.6322,0.36201,0.95516,1.14363,0.58539,0.00101227,0.00101227,0.00101227
52,713.998,1.70017,1.18733,1.0165,0.69357,0.58813,0.65701,0.39269,0.89222,2.24755,0.56264,0.000992515,0.000992515,0.000992515
53,726.239,1.72013,1.18903,1.01802,0.69047,0.55564,0.63358,0.37855,0.90821,69.1192,0.56803,0.000972761,0.000972761,0.000972761
54,742.51,1.6904,1.15987,1.021,0.71257,0.58261,0.66721,0.39325,0.9124,1.95108,0.5651,0.000953006,0.000953006,0.000953006
55,755.434,1.70157,1.16182,1.02124,0.68123,0.59731,0.66411,0.39951,0.8855,2.198,0.5558,0.000933252,0.000933252,0.000933252
