epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8792,2.37645,3.41978,1.36434,0.01582,0.21787,0.01315,0.00437,1.09032,33.723,0.57943,0.00036,0.00036,0.00036
2,37.1391,1.99988,2.30245,1.08055,0.01676,0.23072,0.04368,0.01545,0.97516,32.0649,0.6032,0.000732695,0.000732695,0.000732695
3,51.1822,1.87839,1.8592,1.05546,0.03507,0.48286,0.21225,0.08411,0.93627,38.5155,0.62097,0.00109789,0.00109789,0.00109789
4,65.0371,1.79212,1.72531,1.03826,0.68861,0.20257,0.3481,0.15989,0.86964,40.8241,0.56686,0.00145558,0.00145558,0.00145558
5,78.4941,1.78023,1.64764,1.03342,0.46115,0.28519,0.28449,0.12396,0.8788,33.8401,0.56651,0.00180576,0.00180576,0.00180576
6,96.1799,1.76033,1.60331,1.03406,0.53988,0.4131,0.43993,0.21998,0.86713,39.7702,0.5702,0.00190128,0.00190128,0.00190128
7,108.875,1.74641,1.55356,1.00556,0.52935,0.44259,0.44504,0.22358,0.86816,245.379,0.60343,0.00188153,0.00188153,0.00188153
8,125.914,1.7395,1.5469,1.01785,0.4661,0.44553,0.4218,0.21431,0.8507,140.706,0.56115,0.00186179,0.00186179,0.00186179
9,139.189,1.71334,1.47434,1.01796,0.54672,0.47833,0.50262,0.26704,0.85594,40.4253,0.57698,0.00184205,0.00184205,0.00184205
10,151.848,1.6847,1.43878,0.99794,0.60456,0.48531,0.52282,0.26869,0.86622,12.2326,0.55834,0.0018223,0.0018223,0.0018223
11,164.84,1.64125,1.40541,0.99606,0.55798,0.52081,0.5458,0.29538,0.79439,131.451,0.51991,0.00180256,0.00180256,0.00180256
12,182.005,1.64929,1.4008,0.98967,0.60594,0.49082,0.53246,0.28376,0.8371,11.0352,0.53067,0.00178281,0.00178281,0.00178281
13,194.521,1.65021,1.36801,0.9872,0.60282,0.46267,0.52728,0.28432,0.81212,21.3897,0.53313,0.00176307,0.00176307,0.00176307
14,207.853,1.63973,1.35798,0.97218,0.54016,0.45362,0.46548,0.22147,0.9225,22.3567,0.56713,0.00174333,0.00174333,0.00174333
